    915.912000 #82889    cpu1 RAD.MOD  addr=0x055e val=0x0010 mask=0x0010
    915.912000 #82890    cpu1 RAD.RD   addr=0x055e val=UNDEFINED
    915.912000 #82891    cpu1 RAD.WR   addr=0x055e val=0x0030
    915.912000 #82892    cpu1 RAD.MOD  addr=0x0126 val=0x0100 mask=0x0300
    915.912000 #82893    cpu1 RAD.RD   addr=0x0126 val=UNDEFINED
    915.912000 #82894    cpu1 RAD.WR   addr=0x0126 val=0x0100
    915.912000 #82895    cpu1 RAD.MOD  addr=0x0127 val=0x0002 mask=0x0003
    915.912000 #82896    cpu1 RAD.RD   addr=0x0127 val=UNDEFINED
    915.912000 #82897    cpu1 RAD.WR   addr=0x0127 val=0x0002
    915.912000 #82898    cpu1 RAD.MOD  addr=0x006f val=0x0000 mask=0x0004
    915.912000 #82899    cpu1 RAD.RD   addr=0x006f val=UNDEFINED
    915.912000 #82900    cpu1 RAD.WR   addr=0x006f val=0x0000
    915.912000 #82901    cpu1 RAD.MOD  addr=0x006f val=0x0000 mask=0x0001
    915.912000 #82902    cpu1 RAD.RD   addr=0x006f val=UNDEFINED
    915.912000 #82903    cpu1 RAD.WR   addr=0x006f val=0x0000
    915.912000 #82904    cpu1 RAD.MOD  addr=0x006f val=0x0000 mask=0x0002
    915.912000 #82905    cpu1 RAD.RD   addr=0x006f val=UNDEFINED
    915.912000 #82906    cpu1 RAD.WR   addr=0x006f val=0x0000
    915.912000 #82907    cpu1 RAD.MOD  addr=0x0065 val=0x0000 mask=0x0001
    915.912000 #82908    cpu1 RAD.RD   addr=0x0065 val=UNDEFINED
    915.912000 #82909    cpu1 RAD.WR   addr=0x0065 val=0x0000
    915.912000 #82910    cpu1 RAD.MOD  addr=0x0326 val=0x0100 mask=0x0300
    915.912000 #82911    cpu1 RAD.RD   addr=0x0326 val=UNDEFINED
    915.912000 #82912    cpu1 RAD.WR   addr=0x0326 val=0x0100
    915.912000 #82913    cpu1 RAD.MOD  addr=0x0327 val=0x0002 mask=0x0003
    915.912000 #82914    cpu1 RAD.RD   addr=0x0327 val=UNDEFINED
    915.912000 #82915    cpu1 RAD.WR   addr=0x0327 val=0x0002
    915.912000 #82916    cpu1 RAD.MOD  addr=0x026f val=0x0000 mask=0x0004
    915.912000 #82917    cpu1 RAD.RD   addr=0x026f val=UNDEFINED
    915.912000 #82918    cpu1 RAD.WR   addr=0x026f val=0x0000
    915.912000 #82919    cpu1 RAD.MOD  addr=0x026f val=0x0000 mask=0x0001
    915.912000 #82920    cpu1 RAD.RD   addr=0x026f val=UNDEFINED
    915.912000 #82921    cpu1 RAD.WR   addr=0x026f val=0x0000
    915.912000 #82922    cpu1 RAD.MOD  addr=0x026f val=0x0000 mask=0x0002
    915.912000 #82923    cpu1 RAD.RD   addr=0x026f val=UNDEFINED
    915.912000 #82924    cpu1 RAD.WR   addr=0x026f val=0x0000
    915.912000 #82925    cpu1 RAD.MOD  addr=0x0265 val=0x0000 mask=0x0001
    915.912000 #82926    cpu1 RAD.RD   addr=0x0265 val=UNDEFINED
    915.912000 #82927    cpu1 RAD.WR   addr=0x0265 val=0x0000
    915.912000 #82928    cpu1 RAD.MOD  addr=0x0526 val=0x0100 mask=0x0300
    915.912000 #82929    cpu1 RAD.RD   addr=0x0526 val=UNDEFINED
    915.912000 #82930    cpu1 RAD.WR   addr=0x0526 val=0x0100
    915.912000 #82931    cpu1 RAD.MOD  addr=0x0527 val=0x0002 mask=0x0003
    915.912000 #82932    cpu1 RAD.RD   addr=0x0527 val=UNDEFINED
    915.912000 #82933    cpu1 RAD.WR   addr=0x0527 val=0x0002
    915.912000 #82934    cpu1 RAD.MOD  addr=0x046f val=0x0000 mask=0x0004
    915.912000 #82935    cpu1 RAD.RD   addr=0x046f val=UNDEFINED
    915.912000 #82936    cpu1 RAD.WR   addr=0x046f val=0x0000
    915.912000 #82937    cpu1 RAD.MOD  addr=0x046f val=0x0000 mask=0x0001
    915.912000 #82938    cpu1 RAD.RD   addr=0x046f val=UNDEFINED
    915.912000 #82939    cpu1 RAD.WR   addr=0x046f val=0x0000
    915.912000 #82940    cpu1 RAD.MOD  addr=0x046f val=0x0000 mask=0x0002
    915.912000 #82941    cpu1 RAD.RD   addr=0x046f val=UNDEFINED
    915.912000 #82942    cpu1 RAD.WR   addr=0x046f val=0x0000
    915.912000 #82943    cpu1 RAD.MOD  addr=0x0465 val=0x0000 mask=0x0001
    915.912000 #82944    cpu1 RAD.RD   addr=0x0465 val=UNDEFINED
    915.912000 #82945    cpu1 RAD.WR   addr=0x0465 val=0x0000
    915.912000 #82946    cpu1 RAD.MOD  addr=0x040c val=0x0000 mask=0x0010
    915.912000 #82947    cpu1 RAD.RD   addr=0x040c val=UNDEFINED
    915.912000 #82948    cpu1 RAD.WR   addr=0x040c val=0x0200
    915.912000 #82949    cpu1 PHY.WR   addr=0x0408 val=0x0c06
    915.912000 #82950    cpu1 RAD.MOD  addr=0x040c val=0x0010 mask=0x0010
    915.912000 #82951    cpu1 RAD.RD   addr=0x040c val=UNDEFINED
    915.912000 #82952    cpu1 RAD.WR   addr=0x040c val=0x0211
    915.912000 #82953    cpu1 PHY.WR   addr=0x0417 val=0x000d
    915.912000 #82954    cpu1 PHY.WR   addr=0x0408 val=0x0c02
    915.912000 #82955    cpu1 PHY.WR   addr=0x0728 val=0x0180
    915.913000 #82956    cpu1 PHY.WR   addr=0x0417 val=0x0004
    915.913000 #82957    cpu1 PHY.WR   addr=0x0728 val=0x0000
    915.913000 #82958    cpu1 RAD.MOD  addr=0x08ea val=0x0040 mask=0x0040
    915.913000 #82959    cpu1 RAD.RD   addr=0x08ea val=UNDEFINED
    915.913000 #82960    cpu1 RAD.WR   addr=0x08ea val=0x00ff
    915.913000 #82961    cpu1 RAD.MOD  addr=0x08ea val=0x0080 mask=0x0080
    915.913000 #82962    cpu1 RAD.RD   addr=0x08ea val=UNDEFINED
    915.913000 #82963    cpu1 RAD.WR   addr=0x08ea val=0x00ff
    915.913000 #82964    cpu1 RAD.MOD  addr=0x08ed val=0x0000 mask=0x0600
    915.913000 #82965    cpu1 RAD.RD   addr=0x08ed val=UNDEFINED
    915.913000 #82966    cpu1 RAD.WR   addr=0x08ed val=0x4124
    915.913000 #82967    cpu1 RAD.MOD  addr=0x08ed val=0x0000 mask=0x1800
    915.913000 #82968    cpu1 RAD.RD   addr=0x08ed val=UNDEFINED
    915.913000 #82969    cpu1 RAD.WR   addr=0x08ed val=0x4124
    915.913000 #82970    cpu1 RAD.MOD  addr=0x0548 val=0x0001 mask=0x0001
    915.913000 #82971    cpu1 RAD.RD   addr=0x0548 val=UNDEFINED
    915.913000 #82972    cpu1 RAD.WR   addr=0x0548 val=0x0001
    915.913000 #82973    cpu1 RAD.WR   addr=0x0549 val=0x0000
    915.913000 #82974    cpu1 RAD.WR   addr=0x054a val=0x0000
    915.913000 #82975    cpu1 RAD.WR   addr=0x054b val=0x0000
    915.913000 #82976    cpu1 RAD.WR   addr=0x054c val=0x0000
    915.913000 #82977    cpu1 RAD.MOD  addr=0x040b val=0x0000 mask=0x0001
