    889.593000 #85       cpu0 RAD.WR   addr=0x0972 val=0x0600
    889.594000 #86       cpu0 RAD.MOD  addr=0x096b val=0x0800 mask=0x0800
    889.594000 #87       cpu0 RAD.WR   addr=0x096b val=0x0800
    889.594000 #88       cpu0 RAD.MOD  addr=0x096b val=0x4000 mask=0x4000
    889.594000 #89       cpu0 RAD.WR   addr=0x096b val=0x4800
    889.594000 #90       cpu0 RAD.MOD  addr=0x096c val=0x0800 mask=0x0800
    889.594000 #91       cpu0 RAD.WR   addr=0x096c val=0x0800
    889.595000 #92       cpu0 RAD.MOD  addr=0x096b val=0x8000 mask=0x8000
    889.595000 #93       cpu0 RAD.WR   addr=0x096b val=0xc800
    889.596000 #94       cpu0 RAD.MOD  addr=0x096b val=0x1000 mask=0x1000
    889.596000 #95       cpu0 RAD.WR   addr=0x096b val=0xd800
    889.596000 #96       cpu0 RAD.MOD  addr=0x096b val=0x0004 mask=0x0004
    889.596000 #97       cpu0 RAD.WR   addr=0x096b val=0xd804
    889.596000 #98       cpu0 RAD.MOD  addr=0x0407 val=0x0002 mask=0x0002
    889.596000 #99       cpu0 RAD.WR   addr=0x0407 val=0x8302
    889.597000 #100      cpu0 RAD.MOD  addr=0x055e val=0x0010 mask=0x0010
    889.597000 #101      cpu0 RAD.WR   addr=0x055e val=0x0030
    889.597000 #102      cpu0 RAD.MOD  addr=0x0126 val=0x0100 mask=0x0300
    889.597000 #103      cpu0 RAD.WR   addr=0x0126 val=0x0100
    889.597000 #104      cpu0 RAD.MOD  addr=0x0127 val=0x0002 mask=0x0003
    889.597000 #105      cpu0 RAD.WR   addr=0x0127 val=0x0002
    889.597000 #106      cpu0 RAD.MOD  addr=0x006f val=0x0000 mask=0x0004
    889.597000 #107      cpu0 RAD.WR   addr=0x006f val=0x0000
    889.598000 #108      cpu0 RAD.MOD  addr=0x006f val=0x0000 mask=0x0001
    889.598000 #109      cpu0 RAD.WR   addr=0x006f val=0x0000
    889.598000 #110      cpu0 RAD.MOD  addr=0x006f val=0x0000 mask=0x0002
    889.598000 #111      cpu0 RAD.WR   addr=0x006f val=0x0000
    889.598000 #112      cpu0 RAD.MOD  addr=0x0065 val=0x0000 mask=0x0001
    889.598000 #113      cpu0 RAD.WR   addr=0x0065 val=0x0000
    889.598000 #114      cpu0 RAD.MOD  addr=0x0326 val=0x0100 mask=0x0300
    889.598000 #115      cpu0 RAD.WR   addr=0x0326 val=0x0100
    889.599000 #116      cpu0 RAD.MOD  addr=0x0327 val=0x0002 mask=0x0003
    889.599000 #117      cpu0 RAD.WR   addr=0x0327 val=0x0002
    889.599000 #118      cpu0 RAD.MOD  addr=0x026f val=0x0000 mask=0x0004
    889.599000 #119      cpu0 RAD.WR   addr=0x026f val=0x0000
    889.599000 #120      cpu0 RAD.MOD  addr=0x026f val=0x0000 mask=0x0001
    889.599000 #121      cpu0 RAD.WR   addr=0x026f val=0x0000
    889.600000 #122      cpu0 RAD.MOD  addr=0x026f val=0x0000 mask=0x0002
    889.600000 #123      cpu0 RAD.WR   addr=0x026f val=0x0000
    889.601000 #124      cpu0 RAD.MOD  addr=0x0265 val=0x0000 mask=0x0001
    889.601000 #125      cpu0 RAD.WR   addr=0x0265 val=0x0000
    889.601000 #126      cpu0 RAD.MOD  addr=0x0526 val=0x0100 mask=0x0300
    889.601000 #127      cpu0 RAD.WR   addr=0x0526 val=0x0100
    889.601000 #128      cpu0 RAD.MOD  addr=0x0527 val=0x0002 mask=0x0003
    889.601000 #129      cpu0 RAD.WR   addr=0x0527 val=0x0002
    889.602000 #130      cpu0 RAD.MOD  addr=0x046f val=0x0000 mask=0x0004
    889.602000 #131      cpu0 RAD.WR   addr=0x046f val=0x0000
    889.602000 #132      cpu0 RAD.MOD  addr=0x046f val=0x0000 mask=0x0001
    889.602000 #133      cpu0 RAD.WR   addr=0x046f val=0x0000
    889.602000 #134      cpu0 RAD.MOD  addr=0x046f val=0x0000 mask=0x0002
    889.602000 #135      cpu0 RAD.WR   addr=0x046f val=0x0000
    889.603000 #136      cpu0 RAD.MOD  addr=0x0465 val=0x0000 mask=0x0001
    889.603000 #137      cpu0 RAD.WR   addr=0x0465 val=0x0000
    889.603000 #138      cpu0 RAD.MOD  addr=0x040c val=0x0000 mask=0x0010
    889.603000 #139      cpu0 RAD.WR   addr=0x040c val=0x0200
    889.603000 #140      cpu0 PHY.WR   addr=0x0408 val=0x0c06
    889.604000 #141      cpu0 RAD.MOD  addr=0x040c val=0x0010 mask=0x0010
