trace_seq,op,addr,val,mask,match,n_driver_sites,driver_site(s),value_check
42933,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
42934,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
42935,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
42936,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
42937,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
42938,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
42939,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
42940,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
42941,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
42942,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
42943,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
42944,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
42945,RAD.RD,0x0544,UNDEFINED,,MULTI,8,todo_leftovers.c:1494 ?;todo_leftovers.c:1533 ?;todo_leftovers.c:1546 ?;todo_leftovers.c:1564 ?,
42960,PHY.WR,0x0381,0x7976,,UNIQUE,1,phy_ac.c:2355 b43_phy_ac_channel_setup,VAL-UNRESOLVED
42961,PHY.WR,0x0383,0x003d,,UNIQUE,1,phy_ac.c:2355 b43_phy_ac_channel_setup,VAL-UNRESOLVED
42962,PHY.WR,0x0380,0xa084,,UNIQUE,1,phy_ac.c:2355 b43_phy_ac_channel_setup,VAL-UNRESOLVED
42963,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
42964,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
42965,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
42966,PHY.RD,0x0380,UNDEFINED,,MULTI,894,todo_leftovers.c:867 ?;todo_leftovers.c:868 ?;todo_leftovers.c:869 ?;todo_leftovers.c:870 ?,
