class,op,addr,v_36_20,v_44_20,v_36_40,v_36_80
baseline,RAD.WR,0x08e0,0x0005,0x0005,0x0005,0x0005
baseline,RAD.WR,0x08e1,0x001e,0x001e,0x001e,0x001e
baseline,RAD.WR,0x08e5,0x0000,0x0000,0x0000,0x0000
center-freq(chan+width),RAD.WR,0x08e6,0x00ac,0x00ae,0x00ad,0x00ad
center-freq(chan+width),RAD.WR,0x08e7,0xaaaa,0x0000,0x0000,0xaaaa
DYN-runtime,RAD.WR,0x08e8,DYN,DYN,DYN,DYN
baseline,RAD.WR,0x08e9,0x01ce,0x01ce,0x01ce,0x01ce
DYN-runtime,RAD.WR,0x08ea,DYN,DYN,DYN,DYN
baseline,RAD.WR,0x08eb,0x0488,0x0488,0x0488,0x0488
baseline,RAD.WR,0x08ec,0x06ff,0x06ff,0x06ff,0x06ff
DYN-runtime,RAD.WR,0x08ed,DYN,DYN,DYN,DYN
DYN-runtime,RAD.WR,0x096b,DYN,DYN,DYN,DYN
baseline,RAD.WR,0x096c,0x0800,0x0800,0x0800,0x0800
baseline,RAD.WR,0x0972,0x0600,0x0600,0x0600,0x0600
baseline,TBL.WR,-,,,,
