trace_seq,op,addr,val,mask,match,n_driver_sites,driver_site(s),value_check
84052,PHY.RD,0x0920,UNDEFINED,,NONE,0,,
84053,PHY.RD,0x0928,UNDEFINED,,NONE,0,,
84054,PHY.RD,0x0921,UNDEFINED,,NONE,0,,
84055,PHY.RD,0x0929,UNDEFINED,,NONE,0,,
84056,PHY.MOD,0x0920,0x0001,0x0001,NONE,0,,
84057,PHY.MOD,0x0928,0x0000,0x0001,UNIQUE,1,radio_2069.c:853 ?,VAL-UNRESOLVED
84058,PHY.MOD,0x0921,0x0004,0x0004,UNIQUE,1,radio_2069.c:854 ?,VAL-MISMATCH
84059,PHY.MOD,0x0929,0x0000,0x0002,NONE,0,,
84061,PHY.MOD,0x0270,0x0001,0x0001,NONE,0,,
84062,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84064,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84066,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84068,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84070,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84072,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84074,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84076,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84078,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84080,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84082,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84084,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84086,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84088,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84090,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84092,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84094,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84096,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84098,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84100,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84102,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84104,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84106,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84108,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84110,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84112,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84114,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84116,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84118,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84120,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84122,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84124,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84126,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84128,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84130,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84132,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84134,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84136,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84138,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84140,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84142,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84144,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84146,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84148,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84150,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84152,PHY.RD,0x0270,UNDEFINED,,NONE,0,,
84153,PHY.WR,0x0929,0x0321,,NONE,0,,
84154,PHY.WR,0x0921,0x7761,,NONE,0,,
