# router-data/d6220/wl-diag-wl1-attach-to-bss-ch36.txt - TABLE OPS COLLAPSED (13255/22757 raw rimosse)
   1211.436000 #32464    cpu0 RAD.RD   addr=0x096c val=UNDEFINED
   1211.436000 #32465    cpu0 RAD.WR   addr=0x096c val=0x0800
   1211.436000 #32466    cpu0 RAD.MOD  addr=0x096b val=0x8000 mask=0x8000
   1211.436000 #32467    cpu0 RAD.RD   addr=0x096b val=UNDEFINED
   1211.436000 #32468    cpu0 RAD.WR   addr=0x096b val=0xc800
   1211.436000 #32469    cpu0 RAD.MOD  addr=0x096b val=0x1000 mask=0x1000
   1211.436000 #32470    cpu0 RAD.RD   addr=0x096b val=UNDEFINED
   1211.436000 #32471    cpu0 RAD.WR   addr=0x096b val=0xd800
   1211.436000 #32472    cpu0 RAD.MOD  addr=0x096b val=0x0004 mask=0x0004
   1211.436000 #32473    cpu0 RAD.RD   addr=0x096b val=UNDEFINED
   1211.436000 #32474    cpu0 RAD.WR   addr=0x096b val=0xd804
   1211.436000 #32475    cpu0 RAD.MOD  addr=0x0407 val=0x0002 mask=0x0002
   1211.436000 #32476    cpu0 RAD.RD   addr=0x0407 val=UNDEFINED
   1211.436000 #32477    cpu0 RAD.WR   addr=0x0407 val=0x8302
   1211.436000 #32478    cpu0 RAD.MOD  addr=0x055e val=0x0010 mask=0x0010
   1211.436000 #32479    cpu0 RAD.RD   addr=0x055e val=UNDEFINED
   1211.436000 #32480    cpu0 RAD.WR   addr=0x055e val=0x0030
   1211.436000 #32481    cpu0 RAD.MOD  addr=0x0126 val=0x0100 mask=0x0300
   1211.436000 #32482    cpu0 RAD.RD   addr=0x0126 val=UNDEFINED
   1211.436000 #32483    cpu0 RAD.WR   addr=0x0126 val=0x0100
   1211.436000 #32484    cpu0 RAD.MOD  addr=0x0127 val=0x0002 mask=0x0003
   1211.436000 #32485    cpu0 RAD.RD   addr=0x0127 val=UNDEFINED
   1211.436000 #32486    cpu0 RAD.WR   addr=0x0127 val=0x0002
   1211.436000 #32487    cpu0 RAD.MOD  addr=0x006f val=0x0000 mask=0x0004
   1211.436000 #32488    cpu0 RAD.RD   addr=0x006f val=UNDEFINED
   1211.437000 #32489    cpu0 RAD.WR   addr=0x006f val=0x0000
   1211.437000 #32490    cpu0 RAD.MOD  addr=0x006f val=0x0000 mask=0x0001
   1211.437000 #32491    cpu0 RAD.RD   addr=0x006f val=UNDEFINED
   1211.437000 #32492    cpu0 RAD.WR   addr=0x006f val=0x0000
   1211.437000 #32493    cpu0 RAD.MOD  addr=0x006f val=0x0000 mask=0x0002
   1211.437000 #32494    cpu0 RAD.RD   addr=0x006f val=UNDEFINED
   1211.437000 #32495    cpu0 RAD.WR   addr=0x006f val=0x0000
   1211.437000 #32496    cpu0 RAD.MOD  addr=0x0065 val=0x0000 mask=0x0001
   1211.437000 #32497    cpu0 RAD.RD   addr=0x0065 val=UNDEFINED
   1211.437000 #32498    cpu0 RAD.WR   addr=0x0065 val=0x0000
   1211.437000 #32499    cpu0 RAD.MOD  addr=0x0326 val=0x0100 mask=0x0300
   1211.437000 #32500    cpu0 RAD.RD   addr=0x0326 val=UNDEFINED
   1211.437000 #32501    cpu0 RAD.WR   addr=0x0326 val=0x0100
   1211.437000 #32502    cpu0 RAD.MOD  addr=0x0327 val=0x0002 mask=0x0003
   1211.437000 #32503    cpu0 RAD.RD   addr=0x0327 val=UNDEFINED
   1211.437000 #32504    cpu0 RAD.WR   addr=0x0327 val=0x0002
   1211.437000 #32505    cpu0 RAD.MOD  addr=0x026f val=0x0000 mask=0x0004
   1211.437000 #32506    cpu0 RAD.RD   addr=0x026f val=UNDEFINED
   1211.437000 #32507    cpu0 RAD.WR   addr=0x026f val=0x0000
   1211.437000 #32508    cpu0 RAD.MOD  addr=0x026f val=0x0000 mask=0x0001
   1211.437000 #32509    cpu0 RAD.RD   addr=0x026f val=UNDEFINED
   1211.437000 #32510    cpu0 RAD.WR   addr=0x026f val=0x0000
   1211.437000 #32511    cpu0 RAD.MOD  addr=0x026f val=0x0000 mask=0x0002
