   1310.422000 #55233    cpu1 RAD.RD   addr=0x0407 val=UNDEFINED
   1310.422000 #55234    cpu1 RAD.WR   addr=0x0407 val=0x8302
   1310.422000 #55235    cpu1 RAD.MOD  addr=0x055e val=0x0010 mask=0x0010
   1310.422000 #55236    cpu1 RAD.RD   addr=0x055e val=UNDEFINED
   1310.422000 #55237    cpu1 RAD.WR   addr=0x055e val=0x0030
   1310.422000 #55238    cpu1 RAD.MOD  addr=0x0126 val=0x0100 mask=0x0300
   1310.422000 #55239    cpu1 RAD.RD   addr=0x0126 val=UNDEFINED
   1310.422000 #55240    cpu1 RAD.WR   addr=0x0126 val=0x0100
   1310.422000 #55241    cpu1 RAD.MOD  addr=0x0127 val=0x0002 mask=0x0003
   1310.422000 #55242    cpu1 RAD.RD   addr=0x0127 val=UNDEFINED
   1310.422000 #55243    cpu1 RAD.WR   addr=0x0127 val=0x0002
   1310.422000 #55244    cpu1 RAD.MOD  addr=0x006f val=0x0000 mask=0x0004
   1310.422000 #55245    cpu1 RAD.RD   addr=0x006f val=UNDEFINED
   1310.422000 #55246    cpu1 RAD.WR   addr=0x006f val=0x0000
   1310.422000 #55247    cpu1 RAD.MOD  addr=0x006f val=0x0000 mask=0x0001
   1310.422000 #55248    cpu1 RAD.RD   addr=0x006f val=UNDEFINED
   1310.422000 #55249    cpu1 RAD.WR   addr=0x006f val=0x0000
   1310.422000 #55250    cpu1 RAD.MOD  addr=0x006f val=0x0000 mask=0x0002
   1310.422000 #55251    cpu1 RAD.RD   addr=0x006f val=UNDEFINED
   1310.422000 #55252    cpu1 RAD.WR   addr=0x006f val=0x0000
   1310.422000 #55253    cpu1 RAD.MOD  addr=0x0065 val=0x0000 mask=0x0001
   1310.422000 #55254    cpu1 RAD.RD   addr=0x0065 val=UNDEFINED
   1310.422000 #55255    cpu1 RAD.WR   addr=0x0065 val=0x0000
   1310.422000 #55256    cpu1 RAD.MOD  addr=0x0326 val=0x0100 mask=0x0300
   1310.422000 #55257    cpu1 RAD.RD   addr=0x0326 val=UNDEFINED
   1310.422000 #55258    cpu1 RAD.WR   addr=0x0326 val=0x0100
   1310.422000 #55259    cpu1 RAD.MOD  addr=0x0327 val=0x0002 mask=0x0003
   1310.422000 #55260    cpu1 RAD.RD   addr=0x0327 val=UNDEFINED
   1310.422000 #55261    cpu1 RAD.WR   addr=0x0327 val=0x0002
   1310.422000 #55262    cpu1 RAD.MOD  addr=0x026f val=0x0000 mask=0x0004
   1310.422000 #55263    cpu1 RAD.RD   addr=0x026f val=UNDEFINED
   1310.422000 #55264    cpu1 RAD.WR   addr=0x026f val=0x0000
   1310.422000 #55265    cpu1 RAD.MOD  addr=0x026f val=0x0000 mask=0x0001
   1310.422000 #55266    cpu1 RAD.RD   addr=0x026f val=UNDEFINED
   1310.422000 #55267    cpu1 RAD.WR   addr=0x026f val=0x0000
   1310.422000 #55268    cpu1 RAD.MOD  addr=0x026f val=0x0000 mask=0x0002
   1310.422000 #55269    cpu1 RAD.RD   addr=0x026f val=UNDEFINED
   1310.422000 #55270    cpu1 RAD.WR   addr=0x026f val=0x0000
   1310.422000 #55271    cpu1 RAD.MOD  addr=0x0265 val=0x0000 mask=0x0001
   1310.422000 #55272    cpu1 RAD.RD   addr=0x0265 val=UNDEFINED
   1310.422000 #55273    cpu1 RAD.WR   addr=0x0265 val=0x0000
   1310.422000 #55274    cpu1 RAD.MOD  addr=0x0526 val=0x0100 mask=0x0300
   1310.422000 #55275    cpu1 RAD.RD   addr=0x0526 val=UNDEFINED
   1310.422000 #55276    cpu1 RAD.WR   addr=0x0526 val=0x0100
   1310.422000 #55277    cpu1 RAD.MOD  addr=0x0527 val=0x0002 mask=0x0003
   1310.422000 #55278    cpu1 RAD.RD   addr=0x0527 val=UNDEFINED
   1310.422000 #55279    cpu1 RAD.WR   addr=0x0527 val=0x0002
   1310.422000 #55280    cpu1 RAD.MOD  addr=0x046f val=0x0000 mask=0x0004
   1310.422000 #55281    cpu1 RAD.RD   addr=0x046f val=UNDEFINED
   1310.422000 #55282    cpu1 RAD.WR   addr=0x046f val=0x0000
   1310.422000 #55283    cpu1 RAD.MOD  addr=0x046f val=0x0000 mask=0x0001
   1310.422000 #55284    cpu1 RAD.RD   addr=0x046f val=UNDEFINED
   1310.422000 #55285    cpu1 RAD.WR   addr=0x046f val=0x0000
   1310.422000 #55286    cpu1 RAD.MOD  addr=0x046f val=0x0000 mask=0x0002
   1310.422000 #55287    cpu1 RAD.RD   addr=0x046f val=UNDEFINED
   1310.422000 #55288    cpu1 RAD.WR   addr=0x046f val=0x0000
   1310.422000 #55289    cpu1 RAD.MOD  addr=0x0465 val=0x0000 mask=0x0001
   1310.422000 #55290    cpu1 RAD.RD   addr=0x0465 val=UNDEFINED
   1310.422000 #55291    cpu1 RAD.WR   addr=0x0465 val=0x0000
   1310.422000 #55292    cpu1 RAD.MOD  addr=0x040c val=0x0000 mask=0x0010
   1310.422000 #55293    cpu1 RAD.RD   addr=0x040c val=UNDEFINED
   1310.422000 #55294    cpu1 RAD.WR   addr=0x040c val=0x0200
   1310.422000 #55295    cpu1 PHY.WR   addr=0x0408 val=0x0c06
   1310.423000 #55296    cpu1 RAD.MOD  addr=0x040c val=0x0010 mask=0x0010
   1310.423000 #55297    cpu1 RAD.RD   addr=0x040c val=UNDEFINED
   1310.423000 #55298    cpu1 RAD.WR   addr=0x040c val=0x0211
   1310.423000 #55299    cpu1 PHY.WR   addr=0x0417 val=0x000d
   1310.423000 #55300    cpu1 PHY.WR   addr=0x0408 val=0x0c02
   1310.423000 #55301    cpu1 PHY.WR   addr=0x0728 val=0x0180
   1310.423000 #55302    cpu1 PHY.WR   addr=0x0417 val=0x0004
   1310.423000 #55303    cpu1 PHY.WR   addr=0x0728 val=0x0000
   1310.423000 #55304    cpu1 RAD.MOD  addr=0x08ea val=0x0040 mask=0x0040
   1310.423000 #55305    cpu1 RAD.RD   addr=0x08ea val=UNDEFINED
   1310.423000 #55306    cpu1 RAD.WR   addr=0x08ea val=0x00ff
   1310.423000 #55307    cpu1 RAD.MOD  addr=0x08ea val=0x0080 mask=0x0080
   1310.423000 #55308    cpu1 RAD.RD   addr=0x08ea val=UNDEFINED
   1310.423000 #55309    cpu1 RAD.WR   addr=0x08ea val=0x00ff
   1310.423000 #55310    cpu1 RAD.MOD  addr=0x08ed val=0x0000 mask=0x0600
