    616.016000 #33255    cpu0 OBJ.RD   addr=0x0772 val=0x00000000 sel=0x10000
    616.016000 #33257    cpu0 OBJ.RD   addr=0x0776 val=0x00000000 sel=0x10000
    616.017000 #33259    cpu0 OBJ.RD   addr=0x0774 val=0x00000000 sel=0x10000
    616.017000 #33261    cpu0 OBJ.RD   addr=0x0776 val=0x00000000 sel=0x10000
    616.017000 #33263    cpu0 OBJ.RD   addr=0x077a val=0x00000000 sel=0x10000
    616.017000 #33265    cpu0 OBJ.RD   addr=0x0778 val=0x00000000 sel=0x10000
    616.017000 #33267    cpu0 OBJ.RD   addr=0x077a val=0x00000000 sel=0x10000
    616.017000 #33269    cpu0 OBJ.RD   addr=0x077e val=0x00000000 sel=0x10000
    616.017000 #33271    cpu0 OBJ.RD   addr=0x077c val=0x00000000 sel=0x10000
    616.017000 #33273    cpu0 OBJ.RD   addr=0x077e val=0x00000000 sel=0x10000
    616.017000 #33275    cpu0 OBJ.RD   addr=0x07e2 val=0x00000000 sel=0x10000
    616.017000 #33277    cpu0 OBJ.RD   addr=0x07e0 val=0x00000000 sel=0x10000
    616.017000 #33279    cpu0 OBJ.RD   addr=0x07e2 val=0x00000000 sel=0x10000
    616.017000 #33281    cpu0 OBJ.RD   addr=0x07e6 val=0x00000000 sel=0x10000
    616.017000 #33283    cpu0 OBJ.RD   addr=0x07e4 val=0x00000000 sel=0x10000
    616.017000 #33285    cpu0 OBJ.RD   addr=0x07e6 val=0x00000000 sel=0x10000
    616.017000 #33287    cpu0 OBJ.RD   addr=0x07de val=0x00000000 sel=0x10000
    616.017000 #33289    cpu0 OBJ.RD   addr=0x07dc val=0x00000000 sel=0x10000
    616.017000 #33291    cpu0 OBJ.RD   addr=0x07de val=0x00000000 sel=0x10000
    616.017000 #33293    cpu0 OBJ.RD   addr=0x07d6 val=0x00000000 sel=0x10000
    616.017000 #33295    cpu0 OBJ.RD   addr=0x07d8 val=0x00000000 sel=0x10000
    616.017000 #33297    cpu0 OBJ.RD   addr=0x07da val=0x00000000 sel=0x10000
    616.017000 #33299    cpu0 OBJ.RD   addr=0x015a val=0x00000000 sel=0x10000
    616.017000 #33301    cpu0 OBJ.RD   addr=0x014e val=0x00000000 sel=0x10000
    616.017000 #33303    cpu0 MAC.MCTRL val=0x00000000 mask=0x00000001
    616.017000 #33304    cpu0 PHY.RD   addr=0x019e val=0x000003d0
    616.017000 #33306    cpu0 PHY.MOD  addr=0x019e val=0x0000 mask=0x0040
    616.017000 #33307    cpu0 PHY.MOD  addr=0x019e val=0x0000 mask=0x0080
    616.017000 #33308    cpu0 PHY.MOD  addr=0x019e val=0x0000 mask=0x0100
    616.017000 #33309    cpu0 PHY.RD   addr=0x073e val=0x00000000
    616.017000 #33311    cpu0 PHY.WR   addr=0x073e val=0x0440
    616.017000 #33312    cpu0 PHY.RD   addr=0x0727 val=0x00000004
    616.017000 #33314    cpu0 PHY.RD   addr=0x073c val=0x00000000
    616.017000 #33316    cpu0 PHY.RD   addr=0x0721 val=0x00005000
    616.017000 #33318    cpu0 PHY.RD   addr=0x0729 val=0x00001000
    616.017000 #33320    cpu0 PHY.RD   addr=0x0720 val=0x00000180
    616.017000 #33322    cpu0 PHY.RD   addr=0x0728 val=0x00000880
    616.017000 #33324    cpu0 PHY.RD   addr=0x0724 val=0x00000000
    616.017000 #33326    cpu0 PHY.RD   addr=0x0736 val=0x00000000
    616.017000 #33328    cpu0 PHY.RD   addr=0x0725 val=0x00000600
    616.017000 #33330    cpu0 PHY.RD   addr=0x0739 val=0x00000000
    616.017000 #33332    cpu0 PHY.RD   addr=0x073a val=0x00000180
    616.017000 #33334    cpu0 PHY.RD   addr=0x0722 val=0x00000000
    616.017000 #33336    cpu0 PHY.RD   addr=0x0734 val=0x00000000
    616.017000 #33338    cpu0 PHY.MOD  addr=0x0727 val=0x0002 mask=0x0002
    616.017000 #33339    cpu0 PHY.MOD  addr=0x073c val=0x0002 mask=0x000e
    616.017000 #33340    cpu0 PHY.MOD  addr=0x0727 val=0x0001 mask=0x0001
    616.017000 #33341    cpu0 PHY.MOD  addr=0x073c val=0x0001 mask=0x0001
    616.017000 #33342    cpu0 PHY.MOD  addr=0x0721 val=0x0100 mask=0x0100
    616.017000 #33343    cpu0 PHY.MOD  addr=0x0729 val=0x0000 mask=0x0100
    616.017000 #33344    cpu0 PHY.MOD  addr=0x0720 val=0x0020 mask=0x0020
