   1414.368000 #78829    cpu1 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1414.368000 #78830    cpu1 MAC.MHF  addr=0x0004 val=0x0080 mask=0x0080
   1414.368000 #78831    cpu1 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1414.368000 #78832    cpu1 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1414.369000 #78833    cpu1 MAC.MHF  addr=0x0000 val=0x0100 mask=0x0100
   1414.369000 #78834    cpu1 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1414.369000 #78835    cpu1 PMU.RC   addr=0x0000 val=0x00000000 mask=0x00000002
   1414.369000 #78836    cpu1 MAC.MCTRL val=0x04000404 mask=0xffffffff
   1414.369000 #78837    cpu1 MAC.MHF  addr=0x0000 val=0x0000 mask=0x0010
   1414.369000 #78838    cpu1 MAC.MHF  addr=0x0001 val=0x0000 mask=0x0100
   1414.369000 #78839    cpu1 MAC.MHF  addr=0x0002 val=0x0000 mask=0x2000
   1414.369000 #78840    cpu1 MAC.MHF  addr=0x0001 val=0x0000 mask=0x0200
   1414.369000 #78841    cpu1 MAC.MHF  addr=0x0002 val=0x0000 mask=0x1504
   1414.369000 #78842    cpu1 MAC.MHF  addr=0x0002 val=0x0000 mask=0x1000
   1414.369000 #78843    cpu1 MAC.MHF  addr=0x0004 val=0x0000 mask=0x0006
   1414.369000 #78844    cpu1 MAC.MCTRL val=0x04020402 mask=0xffffffff
   1414.369000 #78845    cpu1 MAC.MCTRL val=0x00000000 mask=0x0000c000
   1414.369000 #78846    cpu1 GPIO.CTL val=0x00000000 mask=0x00000000
   1414.381000 #78847    cpu1 MAC.MCTRL val=0x40020000 mask=0x40060000
   1414.388000 #78848    cpu1 PMU.PLL  addr=0x0002 val=0x00000000 mask=0x00000000
   1414.388000 #78849    cpu1 PMU.PLL  addr=0x0003 val=0x00000000 mask=0x00000000
   1414.388000 #78850    cpu1 PHY.RD   addr=0x0728 val=UNDEFINED
   1414.388000 #78851    cpu1 PHY.RD   addr=0x0408 val=UNDEFINED
   1414.388000 #78852    cpu1 PHY.WR   addr=0x0415 val=0x0000
   1414.388000 #78853    cpu1 PHY.WR   addr=0x040e val=0x0000
   1414.389000 #78854    cpu1 PHY.WR   addr=0x040c val=0x2000
   1414.389000 #78855    cpu1 PHY.WR   addr=0x0408 val=0x0c00
   1414.389000 #78856    cpu1 PHY.WR   addr=0x0417 val=0x0000
   1414.389000 #78857    cpu1 PHY.WR   addr=0x0416 val=0x000d
   1414.389000 #78858    cpu1 PHY.WR   addr=0x0728 val=0x0000
   1414.389000 #78859    cpu1 PHY.RD   addr=0x0720 val=UNDEFINED
   1414.389000 #78860    cpu1 PHY.WR   addr=0x0720 val=0x03ff
   1414.389000 #78861    cpu1 PHY.WR   addr=0x0408 val=0x0c00
   1414.389000 #78862    cpu1 PHY.WR   addr=0x0408 val=0x0c01
   1414.389000 #78863    cpu1 PHY.WR   addr=0x0408 val=0x0c00
   1414.389000 #78864    cpu1 RAD.WR   addr=0x063a val=0x0000
   1414.389000 #78865    cpu1 RAD.WR   addr=0x063d val=0x000f
   1414.389000 #78866    cpu1 RAD.WR   addr=0x0645 val=0x3000
   1414.389000 #78867    cpu1 RAD.WR   addr=0x0646 val=0x0303
   1414.389000 #78868    cpu1 RAD.WR   addr=0x0647 val=0x36e2
   1414.389000 #78869    cpu1 RAD.WR   addr=0x0649 val=0x6000
   1414.389000 #78870    cpu1 RAD.WR   addr=0x064a val=0x0003
   1414.389000 #78871    cpu1 RAD.WR   addr=0x065e val=0x0ff4
   1414.389000 #78872    cpu1 RAD.WR   addr=0x0666 val=0x0b2d
   1414.389000 #78873    cpu1 RAD.WR   addr=0x0667 val=0x03ff
   1414.389000 #78874    cpu1 RAD.WR   addr=0x0115 val=0x3337
   1414.389000 #78875    cpu1 RAD.WR   addr=0x0117 val=0x1337
   1414.389000 #78876    cpu1 RAD.WR   addr=0x0718 val=0x7777
   1414.389000 #78877    cpu1 RAD.WR   addr=0x071c val=0x1000
   1414.389000 #78878    cpu1 RAD.WR   addr=0x0726 val=0x0100
   1414.389000 #78879    cpu1 RAD.WR   addr=0x0727 val=0x0002
   1414.389000 #78880    cpu1 RAD.WR   addr=0x0761 val=0x0100
   1414.389000 #78881    cpu1 RAD.WR   addr=0x0407 val=0x8382
   1414.389000 #78882    cpu1 RAD.WR   addr=0x055e val=0x0020
   1414.389000 #78883    cpu1 RAD.WR   addr=0x0885 val=0x0700
   1414.389000 #78884    cpu1 RAD.WR   addr=0x08e9 val=0x01ce
   1414.389000 #78885    cpu1 RAD.WR   addr=0x08ea val=0x00ff
   1414.389000 #78886    cpu1 RAD.WR   addr=0x08ec val=0x06ff
   1414.389000 #78887    cpu1 RAD.WR   addr=0x0972 val=0x0600
   1414.389000 #78888    cpu1 RAD.MOD  addr=0x096b val=0x0800 mask=0x0800
   1414.389000 #78889    cpu1 RAD.RD   addr=0x096b val=UNDEFINED
   1414.389000 #78890    cpu1 RAD.WR   addr=0x096b val=0x0800
   1414.389000 #78891    cpu1 RAD.MOD  addr=0x096b val=0x4000 mask=0x4000
   1414.389000 #78892    cpu1 RAD.RD   addr=0x096b val=UNDEFINED
   1414.389000 #78893    cpu1 RAD.WR   addr=0x096b val=0x4800
   1414.389000 #78894    cpu1 RAD.MOD  addr=0x096c val=0x0800 mask=0x0800
   1414.389000 #78895    cpu1 RAD.RD   addr=0x096c val=UNDEFINED
   1414.389000 #78896    cpu1 RAD.WR   addr=0x096c val=0x0800
   1414.389000 #78897    cpu1 RAD.MOD  addr=0x096b val=0x8000 mask=0x8000
   1414.389000 #78898    cpu1 RAD.RD   addr=0x096b val=UNDEFINED
   1414.389000 #78899    cpu1 RAD.WR   addr=0x096b val=0xc800
   1414.389000 #78900    cpu1 RAD.MOD  addr=0x096b val=0x1000 mask=0x1000
   1414.389000 #78901    cpu1 RAD.RD   addr=0x096b val=UNDEFINED
   1414.389000 #78902    cpu1 RAD.WR   addr=0x096b val=0xd800
   1414.389000 #78903    cpu1 RAD.MOD  addr=0x096b val=0x0004 mask=0x0004
   1414.389000 #78904    cpu1 RAD.RD   addr=0x096b val=UNDEFINED
   1414.389000 #78905    cpu1 RAD.WR   addr=0x096b val=0xd804
   1414.389000 #78906    cpu1 RAD.MOD  addr=0x0407 val=0x0002 mask=0x0002
   1414.389000 #78907    cpu1 RAD.RD   addr=0x0407 val=UNDEFINED
   1414.389000 #78908    cpu1 RAD.WR   addr=0x0407 val=0x8302
   1414.389000 #78909    cpu1 RAD.MOD  addr=0x055e val=0x0010 mask=0x0010
   1414.389000 #78910    cpu1 RAD.RD   addr=0x055e val=UNDEFINED
   1414.389000 #78911    cpu1 RAD.WR   addr=0x055e val=0x0030
   1414.389000 #78912    cpu1 RAD.MOD  addr=0x0126 val=0x0100 mask=0x0300
   1414.389000 #78913    cpu1 RAD.RD   addr=0x0126 val=UNDEFINED
   1414.389000 #78914    cpu1 RAD.WR   addr=0x0126 val=0x0100
   1414.389000 #78915    cpu1 RAD.MOD  addr=0x0127 val=0x0002 mask=0x0003
   1414.389000 #78916    cpu1 RAD.RD   addr=0x0127 val=UNDEFINED
   1414.389000 #78917    cpu1 RAD.WR   addr=0x0127 val=0x0002
   1414.389000 #78918    cpu1 RAD.MOD  addr=0x006f val=0x0000 mask=0x0004
   1414.389000 #78919    cpu1 RAD.RD   addr=0x006f val=UNDEFINED
   1414.389000 #78920    cpu1 RAD.WR   addr=0x006f val=0x0000
   1414.389000 #78921    cpu1 RAD.MOD  addr=0x006f val=0x0000 mask=0x0001
   1414.389000 #78922    cpu1 RAD.RD   addr=0x006f val=UNDEFINED
   1414.389000 #78923    cpu1 RAD.WR   addr=0x006f val=0x0000
   1414.389000 #78924    cpu1 RAD.MOD  addr=0x006f val=0x0000 mask=0x0002
   1414.389000 #78925    cpu1 RAD.RD   addr=0x006f val=UNDEFINED
   1414.389000 #78926    cpu1 RAD.WR   addr=0x006f val=0x0000
   1414.389000 #78927    cpu1 RAD.MOD  addr=0x0065 val=0x0000 mask=0x0001
   1414.389000 #78928    cpu1 RAD.RD   addr=0x0065 val=UNDEFINED
   1414.389000 #78929    cpu1 RAD.WR   addr=0x0065 val=0x0000
   1414.389000 #78930    cpu1 RAD.MOD  addr=0x0326 val=0x0100 mask=0x0300
   1414.389000 #78931    cpu1 RAD.RD   addr=0x0326 val=UNDEFINED
   1414.389000 #78932    cpu1 RAD.WR   addr=0x0326 val=0x0100
   1414.389000 #78933    cpu1 RAD.MOD  addr=0x0327 val=0x0002 mask=0x0003
   1414.389000 #78934    cpu1 RAD.RD   addr=0x0327 val=UNDEFINED
   1414.389000 #78935    cpu1 RAD.WR   addr=0x0327 val=0x0002
   1414.389000 #78936    cpu1 RAD.MOD  addr=0x026f val=0x0000 mask=0x0004
