   1304.440000 #1        cpu0 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1304.498000 #81       cpu0 RAD.WR   addr=0x0115 val=0x3337
   1304.498000 #82       cpu0 RAD.WR   addr=0x0117 val=0x1337
   1304.498000 #83       cpu0 RAD.WR   addr=0x0718 val=0x7777
   1304.498000 #84       cpu0 RAD.WR   addr=0x071c val=0x1000
   1304.498000 #85       cpu0 RAD.WR   addr=0x0726 val=0x0100
   1304.498000 #86       cpu0 RAD.WR   addr=0x0727 val=0x0002
   1304.499000 #87       cpu0 RAD.WR   addr=0x0761 val=0x0100
   1304.499000 #88       cpu0 RAD.WR   addr=0x0407 val=0x8382
   1304.499000 #89       cpu0 RAD.WR   addr=0x055e val=0x0020
   1304.499000 #90       cpu0 RAD.WR   addr=0x0885 val=0x0700
   1304.499000 #91       cpu0 RAD.WR   addr=0x08e9 val=0x01ce
   1304.499000 #92       cpu0 RAD.WR   addr=0x08ea val=0x00ff
   1304.499000 #93       cpu0 RAD.WR   addr=0x08ec val=0x06ff
   1304.500000 #94       cpu0 RAD.WR   addr=0x0972 val=0x0600
   1304.500000 #95       cpu0 RAD.MOD  addr=0x096b val=0x0800 mask=0x0800
   1304.500000 #96       cpu0 RAD.RD   addr=0x096b val=UNDEFINED
   1304.500000 #97       cpu0 RETVAL   for=#96 val=0x00000000
   1304.500000 #98       cpu0 RAD.WR   addr=0x096b val=0x0800
   1304.500000 #99       cpu0 RAD.MOD  addr=0x096b val=0x4000 mask=0x4000
   1304.500000 #100      cpu0 RAD.RD   addr=0x096b val=UNDEFINED
   1304.500000 #101      cpu0 RETVAL   for=#100 val=0x00000800
   1304.500000 #102      cpu0 RAD.WR   addr=0x096b val=0x4800
   1304.500000 #103      cpu0 RAD.MOD  addr=0x096c val=0x0800 mask=0x0800
   1304.500000 #104      cpu0 RAD.RD   addr=0x096c val=UNDEFINED
   1304.500000 #105      cpu0 RETVAL   for=#104 val=0x00000000
   1304.500000 #106      cpu0 RAD.WR   addr=0x096c val=0x0800
   1304.500000 #107      cpu0 RAD.MOD  addr=0x096b val=0x8000 mask=0x8000
   1304.500000 #108      cpu0 RAD.RD   addr=0x096b val=UNDEFINED
   1304.501000 #109      cpu0 RETVAL   for=#108 val=0x00004800
   1304.501000 #110      cpu0 RAD.WR   addr=0x096b val=0xc800
   1304.501000 #111      cpu0 RAD.MOD  addr=0x096b val=0x1000 mask=0x1000
   1304.501000 #112      cpu0 RAD.RD   addr=0x096b val=UNDEFINED
   1304.501000 #113      cpu0 RETVAL   for=#112 val=0x0000c800
   1304.501000 #114      cpu0 RAD.WR   addr=0x096b val=0xd800
   1304.501000 #115      cpu0 RAD.MOD  addr=0x096b val=0x0004 mask=0x0004
   1304.501000 #116      cpu0 RAD.RD   addr=0x096b val=UNDEFINED
   1304.501000 #117      cpu0 RETVAL   for=#116 val=0x0000d800
   1304.501000 #118      cpu0 RAD.WR   addr=0x096b val=0xd804
   1304.502000 #119      cpu0 RAD.MOD  addr=0x0407 val=0x0002 mask=0x0002
   1304.502000 #120      cpu0 RAD.RD   addr=0x0407 val=UNDEFINED
   1304.502000 #121      cpu0 RETVAL   for=#120 val=0x00008302
   1304.502000 #122      cpu0 RAD.WR   addr=0x0407 val=0x8302
   1304.502000 #123      cpu0 RAD.MOD  addr=0x055e val=0x0010 mask=0x0010
   1304.502000 #124      cpu0 RAD.RD   addr=0x055e val=UNDEFINED
   1304.502000 #125      cpu0 RETVAL   for=#124 val=0x00000020
   1304.502000 #126      cpu0 RAD.WR   addr=0x055e val=0x0030
   1304.502000 #127      cpu0 RAD.MOD  addr=0x0126 val=0x0100 mask=0x0300
   1304.502000 #128      cpu0 RAD.RD   addr=0x0126 val=UNDEFINED
   1304.502000 #129      cpu0 RETVAL   for=#128 val=0x00000100
   1304.502000 #130      cpu0 RAD.WR   addr=0x0126 val=0x0100
   1304.503000 #131      cpu0 RAD.MOD  addr=0x0127 val=0x0002 mask=0x0003
   1304.503000 #132      cpu0 RAD.RD   addr=0x0127 val=UNDEFINED
   1304.503000 #133      cpu0 RETVAL   for=#132 val=0x00000002
   1304.503000 #134      cpu0 RAD.WR   addr=0x0127 val=0x0002
   1304.503000 #135      cpu0 RAD.MOD  addr=0x006f val=0x0000 mask=0x0004
   1304.503000 #136      cpu0 RAD.RD   addr=0x006f val=UNDEFINED
   1304.503000 #137      cpu0 RETVAL   for=#136 val=0x00000000
   1304.503000 #138      cpu0 RAD.WR   addr=0x006f val=0x0000
   1304.503000 #139      cpu0 RAD.MOD  addr=0x006f val=0x0000 mask=0x0001
   1304.503000 #140      cpu0 RAD.RD   addr=0x006f val=UNDEFINED
   1304.503000 #141      cpu0 RETVAL   for=#140 val=0x00000000
   1304.503000 #142      cpu0 RAD.WR   addr=0x006f val=0x0000
   1304.503000 #143      cpu0 RAD.MOD  addr=0x006f val=0x0000 mask=0x0002
   1304.503000 #144      cpu0 RAD.RD   addr=0x006f val=UNDEFINED
   1304.503000 #145      cpu0 RETVAL   for=#144 val=0x00000000
   1304.503000 #146      cpu0 RAD.WR   addr=0x006f val=0x0000
   1304.504000 #147      cpu0 RAD.MOD  addr=0x0065 val=0x0000 mask=0x0001
   1304.504000 #148      cpu0 RAD.RD   addr=0x0065 val=UNDEFINED
   1304.504000 #149      cpu0 RETVAL   for=#148 val=0x00000000
   1304.504000 #150      cpu0 RAD.WR   addr=0x0065 val=0x0000
   1304.504000 #151      cpu0 RAD.MOD  addr=0x0326 val=0x0100 mask=0x0300
   1304.504000 #152      cpu0 RAD.RD   addr=0x0326 val=UNDEFINED
   1304.504000 #153      cpu0 RETVAL   for=#152 val=0x00000100
   1304.504000 #154      cpu0 RAD.WR   addr=0x0326 val=0x0100
   1304.504000 #155      cpu0 RAD.MOD  addr=0x0327 val=0x0002 mask=0x0003
   1304.504000 #156      cpu0 RAD.RD   addr=0x0327 val=UNDEFINED
   1304.504000 #157      cpu0 RETVAL   for=#156 val=0x00000002
   1304.504000 #158      cpu0 RAD.WR   addr=0x0327 val=0x0002
   1304.504000 #159      cpu0 RAD.MOD  addr=0x026f val=0x0000 mask=0x0004
   1304.504000 #160      cpu0 RAD.RD   addr=0x026f val=UNDEFINED
   1304.504000 #161      cpu0 RETVAL   for=#160 val=0x00000000
   1304.504000 #162      cpu0 RAD.WR   addr=0x026f val=0x0000
   1304.505000 #163      cpu0 RAD.MOD  addr=0x026f val=0x0000 mask=0x0001
   1304.505000 #164      cpu0 RAD.RD   addr=0x026f val=UNDEFINED
   1304.505000 #165      cpu0 RETVAL   for=#164 val=0x00000000
   1304.505000 #166      cpu0 RAD.WR   addr=0x026f val=0x0000
   1304.505000 #167      cpu0 RAD.MOD  addr=0x026f val=0x0000 mask=0x0002
   1304.505000 #168      cpu0 RAD.RD   addr=0x026f val=UNDEFINED
   1304.505000 #169      cpu0 RETVAL   for=#168 val=0x00000000
   1304.505000 #170      cpu0 RAD.WR   addr=0x026f val=0x0000
   1304.505000 #171      cpu0 RAD.MOD  addr=0x0265 val=0x0000 mask=0x0001
   1304.505000 #172      cpu0 RAD.RD   addr=0x0265 val=UNDEFINED
   1304.505000 #173      cpu0 RETVAL   for=#172 val=0x00000000
   1304.505000 #174      cpu0 RAD.WR   addr=0x0265 val=0x0000
   1304.505000 #175      cpu0 RAD.MOD  addr=0x0526 val=0x0100 mask=0x0300
   1304.505000 #176      cpu0 RAD.RD   addr=0x0526 val=UNDEFINED
   1304.506000 #177      cpu0 RETVAL   for=#176 val=0x00000100
   1304.506000 #178      cpu0 RAD.WR   addr=0x0526 val=0x0100
   1304.506000 #179      cpu0 RAD.MOD  addr=0x0527 val=0x0002 mask=0x0003
   1304.506000 #180      cpu0 RAD.RD   addr=0x0527 val=UNDEFINED
   1304.506000 #181      cpu0 RETVAL   for=#180 val=0x00000002
   1304.506000 #182      cpu0 RAD.WR   addr=0x0527 val=0x0002
   1304.506000 #183      cpu0 RAD.MOD  addr=0x046f val=0x0000 mask=0x0004
   1304.506000 #184      cpu0 RAD.RD   addr=0x046f val=UNDEFINED
   1304.506000 #185      cpu0 RETVAL   for=#184 val=0x00000000
   1304.506000 #186      cpu0 RAD.WR   addr=0x046f val=0x0000
   1304.506000 #187      cpu0 RAD.MOD  addr=0x046f val=0x0000 mask=0x0001
   1304.506000 #188      cpu0 RAD.RD   addr=0x046f val=UNDEFINED
   1304.506000 #189      cpu0 RETVAL   for=#188 val=0x00000000
   1304.506000 #190      cpu0 RAD.WR   addr=0x046f val=0x0000
   1304.506000 #191      cpu0 RAD.MOD  addr=0x046f val=0x0000 mask=0x0002
   1304.507000 #192      cpu0 RAD.RD   addr=0x046f val=UNDEFINED
   1304.507000 #193      cpu0 RETVAL   for=#192 val=0x00000000
   1304.507000 #194      cpu0 RAD.WR   addr=0x046f val=0x0000
   1304.507000 #195      cpu0 RAD.MOD  addr=0x0465 val=0x0000 mask=0x0001
   1304.507000 #196      cpu0 RAD.RD   addr=0x0465 val=UNDEFINED
   1304.507000 #197      cpu0 RETVAL   for=#196 val=0x00000000
   1304.507000 #198      cpu0 RAD.WR   addr=0x0465 val=0x0000
   1304.507000 #199      cpu0 RAD.MOD  addr=0x040c val=0x0000 mask=0x0010
   1304.507000 #200      cpu0 RAD.RD   addr=0x040c val=UNDEFINED
   1304.507000 #201      cpu0 RETVAL   for=#200 val=0x00000210
   1304.508000 #202      cpu0 RAD.WR   addr=0x040c val=0x0200
   1304.508000 #203      cpu0 PHY.WR   addr=0x0408 val=0x0c06
   1304.508000 #204      cpu0 RAD.MOD  addr=0x040c val=0x0010 mask=0x0010
   1304.508000 #205      cpu0 RAD.RD   addr=0x040c val=UNDEFINED
   1304.508000 #206      cpu0 RETVAL   for=#205 val=0x00000201
   1304.508000 #207      cpu0 RAD.WR   addr=0x040c val=0x0211
   1304.508000 #208      cpu0 PHY.WR   addr=0x0417 val=0x000d
   1304.508000 #209      cpu0 PHY.WR   addr=0x0408 val=0x0c02
   1304.508000 #210      cpu0 PHY.WR   addr=0x0728 val=0x0180
   1304.508000 #211      cpu0 PHY.WR   addr=0x0417 val=0x0004
   1304.509000 #212      cpu0 PHY.WR   addr=0x0728 val=0x0000
   1304.509000 #213      cpu0 RAD.MOD  addr=0x08ea val=0x0040 mask=0x0040
   1304.509000 #214      cpu0 RAD.RD   addr=0x08ea val=UNDEFINED
