   1422.553000 #256431   cpu0 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1422.554000 #256432   cpu0 MAC.MHF  addr=0x0004 val=0x0080 mask=0x0080
   1422.554000 #256433   cpu0 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1422.554000 #256434   cpu0 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1422.554000 #256435   cpu0 MAC.MHF  addr=0x0000 val=0x0100 mask=0x0100
   1422.555000 #256436   cpu0 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1422.555000 #256437   cpu0 MAC.MCTRL val=0x04000404 mask=0xffffffff
   1422.555000 #256438   cpu0 MAC.MHF  addr=0x0000 val=0x0000 mask=0x0010
   1422.555000 #256439   cpu0 MAC.MHF  addr=0x0001 val=0x0000 mask=0x0100
   1422.555000 #256440   cpu0 MAC.MHF  addr=0x0002 val=0x0000 mask=0x2000
   1422.555000 #256441   cpu0 MAC.MHF  addr=0x0001 val=0x0000 mask=0x0200
   1422.555000 #256442   cpu0 MAC.MHF  addr=0x0002 val=0x0000 mask=0x1504
   1422.555000 #256443   cpu0 MAC.MHF  addr=0x0002 val=0x0000 mask=0x1000
   1422.555000 #256444   cpu0 MAC.MHF  addr=0x0004 val=0x0000 mask=0x0006
   1422.555000 #256445   cpu0 MAC.MCTRL val=0x04020402 mask=0xffffffff
   1422.556000 #256446   cpu0 MAC.MCTRL val=0x00000000 mask=0x0000c000
   1422.556000 #256447   cpu0 GPIO.CTL val=0x00000000 mask=0x00000000
   1422.556000 #256448   cpu0 SI.COREREG core=0x0000 off=0x006c val=UNDEFINED
   1422.556000 #256449   cpu0 ARGX     for=#256448 a5=0x00000000 a6=0x00000000
   1422.556000 #256450   cpu0 RETVAL   for=#256448 val=0x00000000
   1422.596000 #256451   cpu0 OBJ.WR   addr=0x0080 val=0x0008
   1422.596000 #256452   cpu0 OBJ.WR   addr=0x005c val=0x000a
   1422.596000 #256453   cpu0 MAC.MCTRL val=0x40020000 mask=0x40060000
   1422.596000 #256454   cpu0 OBJ.WR   addr=0x0016 val=0x002a
   1422.596000 #256455   cpu0 OBJ.WR   addr=0x00c0 val=0x8c05
   1422.596000 #256456   cpu0 OBJ.WR   addr=0x00c2 val=0x3051
   1422.596000 #256457   cpu0 OBJ.WR   addr=0x0044 val=0x0003
   1422.596000 #256458   cpu0 OBJ.WR   addr=0x0046 val=0x0002
   1422.602000 #256459   cpu0 OBJ.RD   addr=0x0092 val=UNDEFINED
   1422.602000 #256460   cpu0 RETVAL   for=#256459 val=0x00000aa6
   1422.608000 #256461   cpu0 OBJ.WR   addr=0x078c val=0x196c
   1422.608000 #256462   cpu0 OBJ.WR   addr=0x078e val=0xe48f
   1422.608000 #256463   cpu0 OBJ.WR   addr=0x0790 val=0xd8fe
   1422.608000 #256464   cpu0 PMU.PLL  addr=0x0002 val=0x00000000 mask=0x00000000
   1422.608000 #256465   cpu0 SI.COREREG core=0x0000 off=0x0660 val=UNDEFINED
   1422.608000 #256466   cpu0 ARGX     for=#256465 a5=0x00000002 a6=0x00000000
   1422.608000 #256467   cpu0 RETVAL   for=#256465 val=0x00000002
   1422.608000 #256468   cpu0 SI.COREREG core=0x0000 off=0x0664 val=UNDEFINED
   1422.608000 #256469   cpu0 ARGX     for=#256468 a5=0x00000000 a6=0x00000000
   1422.608000 #256470   cpu0 RETVAL   for=#256468 val=0x00000c31
   1422.608000 #256471   cpu0 RETVAL   for=#256464 val=0x00000c31
   1422.609000 #256472   cpu0 PMU.PLL  addr=0x0003 val=0x00000000 mask=0x00000000
   1422.609000 #256473   cpu0 SI.COREREG core=0x0000 off=0x0660 val=UNDEFINED
   1422.609000 #256474   cpu0 ARGX     for=#256473 a5=0x00000003 a6=0x00000000
   1422.609000 #256475   cpu0 RETVAL   for=#256473 val=0x00000003
   1422.609000 #256476   cpu0 SI.COREREG core=0x0000 off=0x0664 val=UNDEFINED
   1422.609000 #256477   cpu0 ARGX     for=#256476 a5=0x00000000 a6=0x00000000
   1422.609000 #256478   cpu0 RETVAL   for=#256476 val=0x00133333
   1422.609000 #256479   cpu0 RETVAL   for=#256472 val=0x00133333
   1422.609000 #256480   cpu0 OBJ.WR   addr=0x005e val=0x2100
   1422.609000 #256481   cpu0 OBJ.WR   addr=0x0060 val=0x0000
   1422.609000 #256482   cpu0 OBJ.WR   addr=0x0062 val=0x0060
   1422.609000 #256483   cpu0 OBJ.WR   addr=0x0078 val=0x0060
   1422.609000 #256484   cpu0 OBJ.WR   addr=0x00d4 val=0x0088
   1422.609000 #256485   cpu0 OBJ.WR   addr=0x00a0 val=0xd064
   1422.610000 #256486   cpu0 PHY.RD   addr=0x0728 val=UNDEFINED
   1422.610000 #256487   cpu0 RETVAL   for=#256486 val=0x00000000
   1422.610000 #256488   cpu0 PHY.RD   addr=0x0408 val=UNDEFINED
   1422.610000 #256489   cpu0 RETVAL   for=#256488 val=0x00000c02
   1422.610000 #256490   cpu0 PHY.WR   addr=0x0415 val=0x0000
   1422.610000 #256491   cpu0 PHY.WR   addr=0x040e val=0x0000
   1422.610000 #256492   cpu0 PHY.WR   addr=0x040c val=0x2000
   1422.610000 #256493   cpu0 PHY.WR   addr=0x0408 val=0x0c00
   1422.610000 #256494   cpu0 PHY.WR   addr=0x0417 val=0x0000
   1422.610000 #256495   cpu0 PHY.WR   addr=0x0416 val=0x000d
   1422.610000 #256496   cpu0 PHY.WR   addr=0x0728 val=0x0000
   1422.610000 #256497   cpu0 PHY.RD   addr=0x0720 val=UNDEFINED
   1422.610000 #256498   cpu0 RETVAL   for=#256497 val=0x000003ff
   1422.610000 #256499   cpu0 PHY.WR   addr=0x0720 val=0x03ff
   1422.611000 #256500   cpu0 PHY.WR   addr=0x0408 val=0x0c00
   1422.611000 #256501   cpu0 PHY.WR   addr=0x0408 val=0x0c01
   1422.611000 #256502   cpu0 PHY.WR   addr=0x0408 val=0x0c00
   1422.611000 #256503   cpu0 RAD.WR   addr=0x063a val=0x0000
   1422.611000 #256504   cpu0 RAD.WR   addr=0x063d val=0x000f
   1422.611000 #256505   cpu0 RAD.WR   addr=0x0645 val=0x3000
   1422.611000 #256506   cpu0 RAD.WR   addr=0x0646 val=0x0303
   1422.611000 #256507   cpu0 RAD.WR   addr=0x0647 val=0x36e2
   1422.611000 #256508   cpu0 RAD.WR   addr=0x0649 val=0x6000
   1422.611000 #256509   cpu0 RAD.WR   addr=0x064a val=0x0003
   1422.612000 #256510   cpu0 RAD.WR   addr=0x0666 val=0x0b2d
   1422.612000 #256511   cpu0 RAD.WR   addr=0x0115 val=0x3337
   1422.612000 #256512   cpu0 RAD.WR   addr=0x0117 val=0x1337
   1422.612000 #256513   cpu0 RAD.WR   addr=0x0718 val=0x7777
   1422.612000 #256514   cpu0 RAD.WR   addr=0x071c val=0x1000
   1422.612000 #256515   cpu0 RAD.WR   addr=0x0726 val=0x0100
   1422.612000 #256516   cpu0 RAD.WR   addr=0x0727 val=0x0002
   1422.612000 #256517   cpu0 RAD.WR   addr=0x0761 val=0x0100
   1422.613000 #256518   cpu0 RAD.WR   addr=0x0407 val=0x8382
   1422.613000 #256519   cpu0 RAD.WR   addr=0x055e val=0x0020
   1422.613000 #256520   cpu0 RAD.WR   addr=0x0885 val=0x0700
   1422.613000 #256521   cpu0 RAD.WR   addr=0x08e9 val=0x01ce
   1422.613000 #256522   cpu0 RAD.WR   addr=0x08ea val=0x00ff
   1422.613000 #256523   cpu0 RAD.WR   addr=0x08ec val=0x06ff
   1422.613000 #256524   cpu0 RAD.WR   addr=0x0972 val=0x0600
   1422.613000 #256525   cpu0 RAD.MOD  addr=0x096b val=0x0800 mask=0x0800
   1422.613000 #256526   cpu0 RAD.RD   addr=0x096b val=UNDEFINED
   1422.613000 #256527   cpu0 RETVAL   for=#256526 val=0x00000000
   1422.613000 #256528   cpu0 RAD.WR   addr=0x096b val=0x0800
   1422.613000 #256529   cpu0 RAD.MOD  addr=0x096b val=0x4000 mask=0x4000
   1422.613000 #256530   cpu0 RAD.RD   addr=0x096b val=UNDEFINED
   1422.613000 #256531   cpu0 RETVAL   for=#256530 val=0x00000800
   1422.614000 #256532   cpu0 RAD.WR   addr=0x096b val=0x4800
   1422.614000 #256533   cpu0 RAD.MOD  addr=0x096c val=0x0800 mask=0x0800
   1422.614000 #256534   cpu0 RAD.RD   addr=0x096c val=UNDEFINED
   1422.614000 #256535   cpu0 RETVAL   for=#256534 val=0x00000000
