   2430.827000 #1695533  cpu0 MAC.MCTRL val=0x04000400 mask=0xffffffff
   2430.827000 #1695534  cpu0 MAC.MHF  addr=0x0004 val=0x0080 mask=0x0080
   2430.827000 #1695535  cpu0 MAC.MCTRL val=0x04000400 mask=0xffffffff
   2430.827000 #1695536  cpu0 MAC.MCTRL val=0x04000400 mask=0xffffffff
   2430.827000 #1695537  cpu0 MAC.MHF  addr=0x0000 val=0x0100 mask=0x0100
   2430.827000 #1695538  cpu0 MAC.MCTRL val=0x04000400 mask=0xffffffff
   2430.828000 #1695539  cpu0 MAC.MCTRL val=0x04000404 mask=0xffffffff
   2430.828000 #1695540  cpu0 MAC.MHF  addr=0x0000 val=0x0000 mask=0x0010
   2430.828000 #1695541  cpu0 MAC.MHF  addr=0x0001 val=0x0000 mask=0x0100
   2430.828000 #1695542  cpu0 MAC.MHF  addr=0x0002 val=0x0000 mask=0x2000
   2430.828000 #1695543  cpu0 MAC.MHF  addr=0x0001 val=0x0000 mask=0x0200
   2430.828000 #1695544  cpu0 MAC.MHF  addr=0x0002 val=0x0000 mask=0x1504
   2430.828000 #1695545  cpu0 MAC.MHF  addr=0x0002 val=0x0000 mask=0x1000
   2430.828000 #1695546  cpu0 MAC.MHF  addr=0x0004 val=0x0000 mask=0x0006
   2430.828000 #1695547  cpu0 MAC.MCTRL val=0x04020402 mask=0xffffffff
   2430.828000 #1695548  cpu0 MAC.MCTRL val=0x00000000 mask=0x0000c000
   2430.828000 #1695549  cpu0 GPIO.CTL val=0x00000000 mask=0x00000000
   2430.828000 #1695550  cpu0 SI.COREREG core=0x0000 off=0x006c val=UNDEFINED
   2430.828000 #1695551  cpu0 ARGX     for=#1695550 a5=0x00000000 a6=0x00000000
   2430.828000 #1695552  cpu0 RETVAL   for=#1695550 val=0x00000000
   2430.868000 #1695553  cpu0 OBJ.WR   addr=0x0080 val=0x0008
   2430.868000 #1695554  cpu0 OBJ.WR   addr=0x005c val=0x000a
   2430.868000 #1695555  cpu0 MAC.MCTRL val=0x40020000 mask=0x40060000
   2430.868000 #1695556  cpu0 OBJ.WR   addr=0x0016 val=0x002a
   2430.868000 #1695557  cpu0 OBJ.WR   addr=0x00c0 val=0x8c05
   2430.868000 #1695558  cpu0 OBJ.WR   addr=0x00c2 val=0x3051
   2430.868000 #1695559  cpu0 OBJ.WR   addr=0x0044 val=0x0003
   2430.868000 #1695560  cpu0 OBJ.WR   addr=0x0046 val=0x0002
   2430.874000 #1695561  cpu0 OBJ.RD   addr=0x0092 val=UNDEFINED
   2430.874000 #1695562  cpu0 RETVAL   for=#1695561 val=0x00000aa6
   2430.880000 #1695563  cpu0 OBJ.WR   addr=0x078c val=0x196c
   2430.880000 #1695564  cpu0 OBJ.WR   addr=0x078e val=0xe48f
   2430.880000 #1695565  cpu0 OBJ.WR   addr=0x0790 val=0xd8fe
   2430.880000 #1695566  cpu0 PMU.PLL  addr=0x0002 val=0x00000000 mask=0x00000000
   2430.880000 #1695567  cpu0 SI.COREREG core=0x0000 off=0x0660 val=UNDEFINED
   2430.880000 #1695568  cpu0 ARGX     for=#1695567 a5=0x00000002 a6=0x00000000
   2430.880000 #1695569  cpu0 RETVAL   for=#1695567 val=0x00000002
   2430.880000 #1695570  cpu0 SI.COREREG core=0x0000 off=0x0664 val=UNDEFINED
   2430.880000 #1695571  cpu0 ARGX     for=#1695570 a5=0x00000000 a6=0x00000000
   2430.880000 #1695572  cpu0 RETVAL   for=#1695570 val=0x00000c31
   2430.880000 #1695573  cpu0 RETVAL   for=#1695566 val=0x00000c31
   2430.880000 #1695574  cpu0 PMU.PLL  addr=0x0003 val=0x00000000 mask=0x00000000
   2430.880000 #1695575  cpu0 SI.COREREG core=0x0000 off=0x0660 val=UNDEFINED
   2430.880000 #1695576  cpu0 ARGX     for=#1695575 a5=0x00000003 a6=0x00000000
   2430.880000 #1695577  cpu0 RETVAL   for=#1695575 val=0x00000003
   2430.880000 #1695578  cpu0 SI.COREREG core=0x0000 off=0x0664 val=UNDEFINED
   2430.880000 #1695579  cpu0 ARGX     for=#1695578 a5=0x00000000 a6=0x00000000
   2430.880000 #1695580  cpu0 RETVAL   for=#1695578 val=0x00133333
   2430.880000 #1695581  cpu0 RETVAL   for=#1695574 val=0x00133333
   2430.880000 #1695582  cpu0 OBJ.WR   addr=0x005e val=0x2100
