   1340.197000 #119919   cpu1 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1340.197000 #119920   cpu1 MAC.MHF  addr=0x0004 val=0x0080 mask=0x0080
   1340.198000 #119921   cpu1 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1340.198000 #119922   cpu1 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1340.198000 #119923   cpu1 MAC.MHF  addr=0x0000 val=0x0100 mask=0x0100
   1340.198000 #119924   cpu1 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1340.199000 #119925   cpu1 MAC.MCTRL val=0x04000404 mask=0xffffffff
   1340.199000 #119926   cpu1 MAC.MHF  addr=0x0000 val=0x0000 mask=0x0010
   1340.199000 #119927   cpu1 MAC.MHF  addr=0x0001 val=0x0000 mask=0x0100
   1340.199000 #119928   cpu1 MAC.MHF  addr=0x0002 val=0x0000 mask=0x2000
   1340.199000 #119929   cpu1 MAC.MHF  addr=0x0001 val=0x0000 mask=0x0200
   1340.199000 #119930   cpu1 MAC.MHF  addr=0x0002 val=0x0000 mask=0x1504
   1340.199000 #119931   cpu1 MAC.MHF  addr=0x0002 val=0x0000 mask=0x1000
   1340.199000 #119932   cpu1 MAC.MHF  addr=0x0004 val=0x0000 mask=0x0006
   1340.199000 #119933   cpu1 MAC.MCTRL val=0x04020402 mask=0xffffffff
   1340.199000 #119934   cpu1 MAC.MCTRL val=0x00000000 mask=0x0000c000
   1340.199000 #119935   cpu1 GPIO.CTL val=0x00000000 mask=0x00000000
   1340.199000 #119936   cpu1 SI.COREREG core=0x0000 off=0x006c val=UNDEFINED
   1340.199000 #119937   cpu1 ARGX     for=#119936 a5=0x00000000 a6=0x00000000
   1340.200000 #119938   cpu1 RETVAL   for=#119936 val=0x00000000
   1340.239000 #119939   cpu1 OBJ.WR   addr=0x0080 val=0x0008
   1340.239000 #119940   cpu1 OBJ.WR   addr=0x005c val=0x000a
   1340.239000 #119941   cpu1 MAC.MCTRL val=0x40020000 mask=0x40060000
   1340.239000 #119942   cpu1 OBJ.WR   addr=0x0016 val=0x002a
   1340.239000 #119943   cpu1 OBJ.WR   addr=0x00c0 val=0x8c05
   1340.240000 #119944   cpu1 OBJ.WR   addr=0x00c2 val=0x3051
   1340.240000 #119945   cpu1 OBJ.WR   addr=0x0044 val=0x0003
   1340.240000 #119946   cpu1 OBJ.WR   addr=0x0046 val=0x0002
   1340.245000 #119947   cpu1 OBJ.RD   addr=0x0092 val=UNDEFINED
   1340.245000 #119948   cpu1 RETVAL   for=#119947 val=0x00000aa6
   1340.251000 #119949   cpu1 OBJ.WR   addr=0x078c val=0x196c
   1340.251000 #119950   cpu1 OBJ.WR   addr=0x078e val=0xe48f
   1340.251000 #119951   cpu1 OBJ.WR   addr=0x0790 val=0xd8fe
   1340.251000 #119952   cpu1 PMU.PLL  addr=0x0002 val=0x00000000 mask=0x00000000
   1340.251000 #119953   cpu1 SI.COREREG core=0x0000 off=0x0660 val=UNDEFINED
   1340.252000 #119954   cpu1 ARGX     for=#119953 a5=0x00000002 a6=0x00000000
   1340.252000 #119955   cpu1 RETVAL   for=#119953 val=0x00000002
   1340.252000 #119956   cpu1 SI.COREREG core=0x0000 off=0x0664 val=UNDEFINED
   1340.252000 #119957   cpu1 ARGX     for=#119956 a5=0x00000000 a6=0x00000000
   1340.252000 #119958   cpu1 RETVAL   for=#119956 val=0x00000c31
   1340.252000 #119959   cpu1 RETVAL   for=#119952 val=0x00000c31
   1340.252000 #119960   cpu1 PMU.PLL  addr=0x0003 val=0x00000000 mask=0x00000000
   1340.252000 #119961   cpu1 SI.COREREG core=0x0000 off=0x0660 val=UNDEFINED
   1340.252000 #119962   cpu1 ARGX     for=#119961 a5=0x00000003 a6=0x00000000
   1340.252000 #119963   cpu1 RETVAL   for=#119961 val=0x00000003
   1340.252000 #119964   cpu1 SI.COREREG core=0x0000 off=0x0664 val=UNDEFINED
   1340.252000 #119965   cpu1 ARGX     for=#119964 a5=0x00000000 a6=0x00000000
   1340.252000 #119966   cpu1 RETVAL   for=#119964 val=0x00133333
   1340.252000 #119967   cpu1 RETVAL   for=#119960 val=0x00133333
   1340.252000 #119968   cpu1 OBJ.WR   addr=0x005e val=0x2100
   1340.252000 #119969   cpu1 OBJ.WR   addr=0x0060 val=0x0000
   1340.253000 #119970   cpu1 OBJ.WR   addr=0x0062 val=0x0060
   1340.253000 #119971   cpu1 OBJ.WR   addr=0x0078 val=0x0060
   1340.253000 #119972   cpu1 OBJ.WR   addr=0x00d4 val=0x0088
   1340.253000 #119973   cpu1 OBJ.WR   addr=0x00a0 val=0xd030
   1340.253000 #119974   cpu1 PHY.RD   addr=0x0728 val=UNDEFINED
   1340.253000 #119975   cpu1 RETVAL   for=#119974 val=0x00000000
   1340.253000 #119976   cpu1 PHY.RD   addr=0x0408 val=UNDEFINED
   1340.253000 #119977   cpu1 RETVAL   for=#119976 val=0x00000c02
   1340.253000 #119978   cpu1 PHY.WR   addr=0x0415 val=0x0000
   1340.253000 #119979   cpu1 PHY.WR   addr=0x040e val=0x0000
   1340.253000 #119980   cpu1 PHY.WR   addr=0x040c val=0x2000
   1340.253000 #119981   cpu1 PHY.WR   addr=0x0408 val=0x0c00
   1340.253000 #119982   cpu1 PHY.WR   addr=0x0417 val=0x0000
   1340.254000 #119983   cpu1 PHY.WR   addr=0x0416 val=0x000d
   1340.254000 #119984   cpu1 PHY.WR   addr=0x0728 val=0x0000
   1340.254000 #119985   cpu1 PHY.RD   addr=0x0720 val=UNDEFINED
   1340.254000 #119986   cpu1 RETVAL   for=#119985 val=0x000003ff
   1340.254000 #119987   cpu1 PHY.WR   addr=0x0720 val=0x03ff
   1340.254000 #119988   cpu1 PHY.WR   addr=0x0408 val=0x0c00
   1340.254000 #119989   cpu1 PHY.WR   addr=0x0408 val=0x0c01
   1340.254000 #119990   cpu1 PHY.WR   addr=0x0408 val=0x0c00
   1340.254000 #119991   cpu1 RAD.WR   addr=0x063a val=0x0000
   1340.254000 #119992   cpu1 RAD.WR   addr=0x063d val=0x000f
   1340.254000 #119993   cpu1 RAD.WR   addr=0x0645 val=0x3000
   1340.255000 #119994   cpu1 RAD.WR   addr=0x0646 val=0x0303
   1340.255000 #119995   cpu1 RAD.WR   addr=0x0647 val=0x36e2
   1340.255000 #119996   cpu1 RAD.WR   addr=0x0649 val=0x6000
   1340.255000 #119997   cpu1 RAD.WR   addr=0x064a val=0x0003
   1340.255000 #119998   cpu1 RAD.WR   addr=0x0666 val=0x0b2d
   1340.255000 #119999   cpu1 RAD.WR   addr=0x0115 val=0x3337
   1340.255000 #120000   cpu1 RAD.WR   addr=0x0117 val=0x1337
   1340.255000 #120001   cpu1 RAD.WR   addr=0x0718 val=0x7777
   1340.255000 #120002   cpu1 RAD.WR   addr=0x071c val=0x1000
   1340.255000 #120003   cpu1 RAD.WR   addr=0x0726 val=0x0100
   1340.255000 #120004   cpu1 RAD.WR   addr=0x0727 val=0x0002
   1340.255000 #120005   cpu1 RAD.WR   addr=0x0761 val=0x0100
   1340.256000 #120006   cpu1 RAD.WR   addr=0x0407 val=0x8382
   1340.256000 #120007   cpu1 RAD.WR   addr=0x055e val=0x0020
   1340.256000 #120008   cpu1 RAD.WR   addr=0x0885 val=0x0700
   1340.256000 #120009   cpu1 RAD.WR   addr=0x08e9 val=0x01ce
   1340.256000 #120010   cpu1 RAD.WR   addr=0x08ea val=0x00ff
   1340.256000 #120011   cpu1 RAD.WR   addr=0x08ec val=0x06ff
   1340.256000 #120012   cpu1 RAD.WR   addr=0x0972 val=0x0600
   1340.256000 #120013   cpu1 RAD.MOD  addr=0x096b val=0x0800 mask=0x0800
   1340.256000 #120014   cpu1 RAD.RD   addr=0x096b val=UNDEFINED
