   1622.599000 #769344   cpu0 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1622.599000 #769345   cpu0 MAC.MHF  addr=0x0004 val=0x0080 mask=0x0080
   1622.600000 #769346   cpu0 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1622.600000 #769347   cpu0 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1622.600000 #769348   cpu0 MAC.MHF  addr=0x0000 val=0x0100 mask=0x0100
   1622.600000 #769349   cpu0 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1622.601000 #769350   cpu0 MAC.MCTRL val=0x04000404 mask=0xffffffff
   1622.601000 #769351   cpu0 MAC.MHF  addr=0x0000 val=0x0000 mask=0x0010
   1622.601000 #769352   cpu0 MAC.MHF  addr=0x0001 val=0x0000 mask=0x0100
   1622.601000 #769353   cpu0 MAC.MHF  addr=0x0002 val=0x0000 mask=0x2000
   1622.601000 #769354   cpu0 MAC.MHF  addr=0x0001 val=0x0000 mask=0x0200
   1622.601000 #769355   cpu0 MAC.MHF  addr=0x0002 val=0x0000 mask=0x1504
   1622.601000 #769356   cpu0 MAC.MHF  addr=0x0002 val=0x0000 mask=0x1000
   1622.601000 #769357   cpu0 MAC.MHF  addr=0x0004 val=0x0000 mask=0x0006
   1622.601000 #769358   cpu0 MAC.MCTRL val=0x04020402 mask=0xffffffff
   1622.601000 #769359   cpu0 MAC.MCTRL val=0x00000000 mask=0x0000c000
   1622.601000 #769360   cpu0 GPIO.CTL val=0x00000000 mask=0x00000000
   1622.601000 #769361   cpu0 SI.COREREG core=0x0000 off=0x006c val=UNDEFINED
   1622.601000 #769362   cpu0 ARGX     for=#769361 a5=0x00000000 a6=0x00000000
   1622.602000 #769363   cpu0 RETVAL   for=#769361 val=0x00000000
   1622.643000 #769364   cpu0 OBJ.WR   addr=0x0080 val=0x0008
   1622.643000 #769365   cpu0 OBJ.WR   addr=0x005c val=0x000a
   1622.643000 #769366   cpu0 MAC.MCTRL val=0x40020000 mask=0x40060000
   1622.643000 #769367   cpu0 OBJ.WR   addr=0x0016 val=0x002a
   1622.643000 #769368   cpu0 OBJ.WR   addr=0x00c0 val=0x8c05
   1622.643000 #769369   cpu0 OBJ.WR   addr=0x00c2 val=0x3051
   1622.644000 #769370   cpu0 OBJ.WR   addr=0x0044 val=0x0003
   1622.644000 #769371   cpu0 OBJ.WR   addr=0x0046 val=0x0002
   1622.649000 #769372   cpu0 OBJ.RD   addr=0x0092 val=UNDEFINED
   1622.649000 #769373   cpu0 RETVAL   for=#769372 val=0x00000aa6
   1622.655000 #769374   cpu0 OBJ.WR   addr=0x078c val=0x196c
   1622.655000 #769375   cpu0 OBJ.WR   addr=0x078e val=0xe48f
   1622.655000 #769376   cpu0 OBJ.WR   addr=0x0790 val=0xd8fe
   1622.655000 #769377   cpu0 PMU.PLL  addr=0x0002 val=0x00000000 mask=0x00000000
   1622.655000 #769378   cpu0 SI.COREREG core=0x0000 off=0x0660 val=UNDEFINED
   1622.655000 #769379   cpu0 ARGX     for=#769378 a5=0x00000002 a6=0x00000000
   1622.656000 #769380   cpu0 RETVAL   for=#769378 val=0x00000002
   1622.656000 #769381   cpu0 SI.COREREG core=0x0000 off=0x0664 val=UNDEFINED
   1622.656000 #769382   cpu0 ARGX     for=#769381 a5=0x00000000 a6=0x00000000
   1622.656000 #769383   cpu0 RETVAL   for=#769381 val=0x00000c31
   1622.656000 #769384   cpu0 RETVAL   for=#769377 val=0x00000c31
   1622.656000 #769385   cpu0 PMU.PLL  addr=0x0003 val=0x00000000 mask=0x00000000
   1622.656000 #769386   cpu0 SI.COREREG core=0x0000 off=0x0660 val=UNDEFINED
   1622.656000 #769387   cpu0 ARGX     for=#769386 a5=0x00000003 a6=0x00000000
   1622.656000 #769388   cpu0 RETVAL   for=#769386 val=0x00000003
