   1352.149000 #159843   cpu1 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1352.149000 #159844   cpu1 MAC.MHF  addr=0x0004 val=0x0080 mask=0x0080
   1352.150000 #159845   cpu1 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1352.150000 #159846   cpu1 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1352.150000 #159847   cpu1 MAC.MHF  addr=0x0000 val=0x0100 mask=0x0100
   1352.150000 #159848   cpu1 MAC.MCTRL val=0x04000400 mask=0xffffffff
   1352.151000 #159849   cpu1 MAC.MCTRL val=0x04000404 mask=0xffffffff
   1352.151000 #159850   cpu1 MAC.MHF  addr=0x0000 val=0x0000 mask=0x0010
   1352.151000 #159851   cpu1 MAC.MHF  addr=0x0001 val=0x0000 mask=0x0100
   1352.151000 #159852   cpu1 MAC.MHF  addr=0x0002 val=0x0000 mask=0x2000
   1352.151000 #159853   cpu1 MAC.MHF  addr=0x0001 val=0x0000 mask=0x0200
   1352.151000 #159854   cpu1 MAC.MHF  addr=0x0002 val=0x0000 mask=0x1504
   1352.151000 #159855   cpu1 MAC.MHF  addr=0x0002 val=0x0000 mask=0x1000
   1352.151000 #159856   cpu1 MAC.MHF  addr=0x0004 val=0x0000 mask=0x0006
   1352.151000 #159857   cpu1 MAC.MCTRL val=0x04020402 mask=0xffffffff
   1352.151000 #159858   cpu1 MAC.MCTRL val=0x00000000 mask=0x0000c000
   1352.151000 #159859   cpu1 GPIO.CTL val=0x00000000 mask=0x00000000
   1352.151000 #159860   cpu1 SI.COREREG core=0x0000 off=0x006c val=UNDEFINED
   1352.151000 #159861   cpu1 ARGX     for=#159860 a5=0x00000000 a6=0x00000000
   1352.152000 #159862   cpu1 RETVAL   for=#159860 val=0x00000000
   1352.190000 #159863   cpu1 OBJ.WR   addr=0x0080 val=0x0008
   1352.190000 #159864   cpu1 OBJ.WR   addr=0x005c val=0x000a
   1352.190000 #159865   cpu1 MAC.MCTRL val=0x40020000 mask=0x40060000
   1352.191000 #159866   cpu1 OBJ.WR   addr=0x0016 val=0x002a
   1352.191000 #159867   cpu1 OBJ.WR   addr=0x00c0 val=0x8c05
   1352.191000 #159868   cpu1 OBJ.WR   addr=0x00c2 val=0x3051
   1352.191000 #159869   cpu1 OBJ.WR   addr=0x0044 val=0x0003
   1352.191000 #159870   cpu1 OBJ.WR   addr=0x0046 val=0x0002
   1352.197000 #159871   cpu1 OBJ.RD   addr=0x0092 val=UNDEFINED
   1352.197000 #159872   cpu1 RETVAL   for=#159871 val=0x00000aa6
   1352.203000 #159873   cpu1 OBJ.WR   addr=0x078c val=0x196c
   1352.203000 #159874   cpu1 OBJ.WR   addr=0x078e val=0xe48f
   1352.203000 #159875   cpu1 OBJ.WR   addr=0x0790 val=0xd8fe
   1352.203000 #159876   cpu1 PMU.PLL  addr=0x0002 val=0x00000000 mask=0x00000000
   1352.203000 #159877   cpu1 SI.COREREG core=0x0000 off=0x0660 val=UNDEFINED
   1352.203000 #159878   cpu1 ARGX     for=#159877 a5=0x00000002 a6=0x00000000
   1352.203000 #159879   cpu1 RETVAL   for=#159877 val=0x00000002
   1352.203000 #159880   cpu1 SI.COREREG core=0x0000 off=0x0664 val=UNDEFINED
   1352.203000 #159881   cpu1 ARGX     for=#159880 a5=0x00000000 a6=0x00000000
   1352.203000 #159882   cpu1 RETVAL   for=#159880 val=0x00000c31
   1352.203000 #159883   cpu1 RETVAL   for=#159876 val=0x00000c31
   1352.203000 #159884   cpu1 PMU.PLL  addr=0x0003 val=0x00000000 mask=0x00000000
   1352.203000 #159885   cpu1 SI.COREREG core=0x0000 off=0x0660 val=UNDEFINED
   1352.203000 #159886   cpu1 ARGX     for=#159885 a5=0x00000003 a6=0x00000000
   1352.203000 #159887   cpu1 RETVAL   for=#159885 val=0x00000003
   1352.204000 #159888   cpu1 SI.COREREG core=0x0000 off=0x0664 val=UNDEFINED
   1352.204000 #159889   cpu1 ARGX     for=#159888 a5=0x00000000 a6=0x00000000
   1352.204000 #159890   cpu1 RETVAL   for=#159888 val=0x00133333
   1352.204000 #159891   cpu1 RETVAL   for=#159884 val=0x00133333
   1352.204000 #159892   cpu1 OBJ.WR   addr=0x005e val=0x2100
   1352.204000 #159893   cpu1 OBJ.WR   addr=0x0060 val=0x0000
   1352.204000 #159894   cpu1 OBJ.WR   addr=0x0062 val=0x0060
   1352.204000 #159895   cpu1 OBJ.WR   addr=0x0078 val=0x0060
   1352.204000 #159896   cpu1 OBJ.WR   addr=0x00d4 val=0x0088
   1352.204000 #159897   cpu1 OBJ.WR   addr=0x00a0 val=0xd034
   1352.204000 #159898   cpu1 PHY.RD   addr=0x0728 val=UNDEFINED
   1352.204000 #159899   cpu1 RETVAL   for=#159898 val=0x00000000
   1352.204000 #159900   cpu1 PHY.RD   addr=0x0408 val=UNDEFINED
   1352.205000 #159901   cpu1 RETVAL   for=#159900 val=0x00000c02
   1352.205000 #159902   cpu1 PHY.WR   addr=0x0415 val=0x0000
   1352.205000 #159903   cpu1 PHY.WR   addr=0x040e val=0x0000
   1352.205000 #159904   cpu1 PHY.WR   addr=0x040c val=0x2000
   1352.205000 #159905   cpu1 PHY.WR   addr=0x0408 val=0x0c00
   1352.205000 #159906   cpu1 PHY.WR   addr=0x0417 val=0x0000
   1352.205000 #159907   cpu1 PHY.WR   addr=0x0416 val=0x000d
   1352.205000 #159908   cpu1 PHY.WR   addr=0x0728 val=0x0000
   1352.205000 #159909   cpu1 PHY.RD   addr=0x0720 val=UNDEFINED
   1352.205000 #159910   cpu1 RETVAL   for=#159909 val=0x000003ff
   1352.205000 #159911   cpu1 PHY.WR   addr=0x0720 val=0x03ff
   1352.205000 #159912   cpu1 PHY.WR   addr=0x0408 val=0x0c00
   1352.205000 #159913   cpu1 PHY.WR   addr=0x0408 val=0x0c01
   1352.205000 #159914   cpu1 PHY.WR   addr=0x0408 val=0x0c00
   1352.206000 #159915   cpu1 RAD.WR   addr=0x063a val=0x0000
   1352.206000 #159916   cpu1 RAD.WR   addr=0x063d val=0x000f
   1352.206000 #159917   cpu1 RAD.WR   addr=0x0645 val=0x3000
   1352.206000 #159918   cpu1 RAD.WR   addr=0x0646 val=0x0303
   1352.206000 #159919   cpu1 RAD.WR   addr=0x0647 val=0x36e2
   1352.206000 #159920   cpu1 RAD.WR   addr=0x0649 val=0x6000
   1352.206000 #159921   cpu1 RAD.WR   addr=0x064a val=0x0003
   1352.206000 #159922   cpu1 RAD.WR   addr=0x0666 val=0x0b2d
   1352.206000 #159923   cpu1 RAD.WR   addr=0x0115 val=0x3337
   1352.206000 #159924   cpu1 RAD.WR   addr=0x0117 val=0x1337
   1352.206000 #159925   cpu1 RAD.WR   addr=0x0718 val=0x7777
   1352.207000 #159926   cpu1 RAD.WR   addr=0x071c val=0x1000
   1352.207000 #159927   cpu1 RAD.WR   addr=0x0726 val=0x0100
   1352.207000 #159928   cpu1 RAD.WR   addr=0x0727 val=0x0002
   1352.207000 #159929   cpu1 RAD.WR   addr=0x0761 val=0x0100
   1352.207000 #159930   cpu1 RAD.WR   addr=0x0407 val=0x8382
   1352.207000 #159931   cpu1 RAD.WR   addr=0x055e val=0x0020
   1352.207000 #159932   cpu1 RAD.WR   addr=0x0885 val=0x0700
   1352.207000 #159933   cpu1 RAD.WR   addr=0x08e9 val=0x01ce
   1352.207000 #159934   cpu1 RAD.WR   addr=0x08ea val=0x00ff
   1352.207000 #159935   cpu1 RAD.WR   addr=0x08ec val=0x06ff
   1352.207000 #159936   cpu1 RAD.WR   addr=0x0972 val=0x0600
   1352.207000 #159937   cpu1 RAD.MOD  addr=0x096b val=0x0800 mask=0x0800
   1352.208000 #159938   cpu1 RAD.RD   addr=0x096b val=UNDEFINED
   1352.208000 #159939   cpu1 RETVAL   for=#159938 val=0x00000000
   1352.208000 #159940   cpu1 RAD.WR   addr=0x096b val=0x0800
   1352.208000 #159941   cpu1 RAD.MOD  addr=0x096b val=0x4000 mask=0x4000
   1352.208000 #159942   cpu1 RAD.RD   addr=0x096b val=UNDEFINED
   1352.208000 #159943   cpu1 RETVAL   for=#159942 val=0x00000800
   1352.208000 #159944   cpu1 RAD.WR   addr=0x096b val=0x4800
   1352.208000 #159945   cpu1 RAD.MOD  addr=0x096c val=0x0800 mask=0x0800
   1352.208000 #159946   cpu1 RAD.RD   addr=0x096c val=UNDEFINED
   1352.208000 #159947   cpu1 RETVAL   for=#159946 val=0x00000000
   1352.208000 #159948   cpu1 RAD.WR   addr=0x096c val=0x0800
   1352.208000 #159949   cpu1 RAD.MOD  addr=0x096b val=0x8000 mask=0x8000
   1352.208000 #159950   cpu1 RAD.RD   addr=0x096b val=UNDEFINED
   1352.208000 #159951   cpu1 RETVAL   for=#159950 val=0x00004800
   1352.209000 #159952   cpu1 RAD.WR   addr=0x096b val=0xc800
   1352.209000 #159953   cpu1 RAD.MOD  addr=0x096b val=0x1000 mask=0x1000
   1352.209000 #159954   cpu1 RAD.RD   addr=0x096b val=UNDEFINED
   1352.209000 #159955   cpu1 RETVAL   for=#159954 val=0x0000c800
   1352.209000 #159956   cpu1 RAD.WR   addr=0x096b val=0xd800
   1352.209000 #159957   cpu1 RAD.MOD  addr=0x096b val=0x0004 mask=0x0004
   1352.209000 #159958   cpu1 RAD.RD   addr=0x096b val=UNDEFINED
   1352.209000 #159959   cpu1 RETVAL   for=#159958 val=0x0000d800
   1352.209000 #159960   cpu1 RAD.WR   addr=0x096b val=0xd804
   1352.209000 #159961   cpu1 RAD.MOD  addr=0x0407 val=0x0002 mask=0x0002
   1352.209000 #159962   cpu1 RAD.RD   addr=0x0407 val=UNDEFINED
   1352.209000 #159963   cpu1 RETVAL   for=#159962 val=0x00008302
   1352.209000 #159964   cpu1 RAD.WR   addr=0x0407 val=0x8302
   1352.209000 #159965   cpu1 RAD.MOD  addr=0x055e val=0x0010 mask=0x0010
   1352.209000 #159966   cpu1 RAD.RD   addr=0x055e val=UNDEFINED
   1352.209000 #159967   cpu1 RETVAL   for=#159966 val=0x00000020
   1352.209000 #159968   cpu1 RAD.WR   addr=0x055e val=0x0030
   1352.210000 #159969   cpu1 RAD.MOD  addr=0x0126 val=0x0100 mask=0x0300
   1352.210000 #159970   cpu1 RAD.RD   addr=0x0126 val=UNDEFINED
   1352.210000 #159971   cpu1 RETVAL   for=#159970 val=0x00000100
   1352.210000 #159972   cpu1 RAD.WR   addr=0x0126 val=0x0100
   1352.210000 #159973   cpu1 RAD.MOD  addr=0x0127 val=0x0002 mask=0x0003
   1352.210000 #159974   cpu1 RAD.RD   addr=0x0127 val=UNDEFINED
   1352.210000 #159975   cpu1 RETVAL   for=#159974 val=0x00000002
   1352.210000 #159976   cpu1 RAD.WR   addr=0x0127 val=0x0002
   1352.210000 #159977   cpu1 RAD.MOD  addr=0x006f val=0x0000 mask=0x0004
   1352.210000 #159978   cpu1 RAD.RD   addr=0x006f val=UNDEFINED
   1352.210000 #159979   cpu1 RETVAL   for=#159978 val=0x00000000
   1352.210000 #159980   cpu1 RAD.WR   addr=0x006f val=0x0000
   1352.210000 #159981   cpu1 RAD.MOD  addr=0x006f val=0x0000 mask=0x0001
   1352.210000 #159982   cpu1 RAD.RD   addr=0x006f val=UNDEFINED
   1352.210000 #159983   cpu1 RETVAL   for=#159982 val=0x00000000
   1352.210000 #159984   cpu1 RAD.WR   addr=0x006f val=0x0000
   1352.210000 #159985   cpu1 RAD.MOD  addr=0x006f val=0x0000 mask=0x0002
   1352.211000 #159986   cpu1 RAD.RD   addr=0x006f val=UNDEFINED
   1352.211000 #159987   cpu1 RETVAL   for=#159986 val=0x00000000
   1352.211000 #159988   cpu1 RAD.WR   addr=0x006f val=0x0000
   1352.211000 #159989   cpu1 RAD.MOD  addr=0x0065 val=0x0000 mask=0x0001
   1352.211000 #159990   cpu1 RAD.RD   addr=0x0065 val=UNDEFINED
   1352.211000 #159991   cpu1 RETVAL   for=#159990 val=0x00000000
   1352.211000 #159992   cpu1 RAD.WR   addr=0x0065 val=0x0000
   1352.211000 #159993   cpu1 RAD.MOD  addr=0x0326 val=0x0100 mask=0x0300
   1352.211000 #159994   cpu1 RAD.RD   addr=0x0326 val=UNDEFINED
   1352.211000 #159995   cpu1 RETVAL   for=#159994 val=0x00000100
   1352.211000 #159996   cpu1 RAD.WR   addr=0x0326 val=0x0100
   1352.211000 #159997   cpu1 RAD.MOD  addr=0x0327 val=0x0002 mask=0x0003
   1352.211000 #159998   cpu1 RAD.RD   addr=0x0327 val=UNDEFINED
   1352.211000 #159999   cpu1 RETVAL   for=#159998 val=0x00000002
   1352.212000 #160000   cpu1 RAD.WR   addr=0x0327 val=0x0002
   1352.212000 #160001   cpu1 RAD.MOD  addr=0x026f val=0x0000 mask=0x0004
   1352.212000 #160002   cpu1 RAD.RD   addr=0x026f val=UNDEFINED
   1352.212000 #160003   cpu1 RETVAL   for=#160002 val=0x00000000
   1352.212000 #160004   cpu1 RAD.WR   addr=0x026f val=0x0000
   1352.212000 #160005   cpu1 RAD.MOD  addr=0x026f val=0x0000 mask=0x0001
   1352.212000 #160006   cpu1 RAD.RD   addr=0x026f val=UNDEFINED
   1352.212000 #160007   cpu1 RETVAL   for=#160006 val=0x00000000
   1352.212000 #160008   cpu1 RAD.WR   addr=0x026f val=0x0000
   1352.212000 #160009   cpu1 RAD.MOD  addr=0x026f val=0x0000 mask=0x0002
   1352.212000 #160010   cpu1 RAD.RD   addr=0x026f val=UNDEFINED
   1352.212000 #160011   cpu1 RETVAL   for=#160010 val=0x00000000
   1352.212000 #160012   cpu1 RAD.WR   addr=0x026f val=0x0000
   1352.212000 #160013   cpu1 RAD.MOD  addr=0x0265 val=0x0000 mask=0x0001
   1352.212000 #160014   cpu1 RAD.RD   addr=0x0265 val=UNDEFINED
